h_ratio,theta,model,z_order,r,omega,amplitude
0.000000,-1.0000,parametric,5,70.94188406,0.74815588,4280796.56944094
0.000000,-1.0000,parametric,5,71.14228486,0.74954816,4341602.25411790
0.000000,-1.0000,parametric,5,71.34268566,0.75094736,4403096.94651932
0.000000,-1.0000,parametric,5,71.54308646,0.75235350,4465286.48564747
0.000000,-1.0000,parametric,5,71.74348726,0.75376661,4528176.74340028
0.000000,-1.0000,parametric,5,71.94388806,0.75518672,4591773.62466376
0.000000,-1.0000,parametric,5,72.14428886,0.75661385,4656083.06740436
0.000000,-1.0000,parametric,5,72.34468966,0.75804803,4721111.04276140
0.000000,-1.0000,parametric,5,72.54509045,0.75948928,4786863.55513949
0.000000,-1.0000,parametric,5,72.74549125,0.76093762,4853346.64230089
0.000000,-1.0000,parametric,5,72.94589205,0.76239309,4920566.37545797
0.000000,-1.0000,parametric,5,73.14629285,0.76385571,4988528.85936554
0.000000,-1.0000,parametric,5,73.34669365,0.76532550,5057240.23241334
0.000000,-1.0000,parametric,5,73.54709445,0.76680250,5126706.66671836
0.000000,-1.0000,parametric,5,73.74749525,0.76828672,5196934.36821731
0.000000,-1.0000,parametric,5,73.94789605,0.76977820,5267929.57675899
0.000000,-1.0000,parametric,5,74.14829685,0.77127695,5339698.56619669
0.000000,-1.0000,parametric,5,74.34869765,0.77278301,5412247.64448060
0.000000,-1.0000,parametric,5,74.54909845,0.77429640,5485583.15375025
0.000000,-1.0000,parametric,5,74.74949925,0.77581716,5559711.47042683
0.000000,-1.0000,parametric,5,74.94990005,0.77734529,5634639.00530569
0.000000,-1.0000,parametric,5,75.15030085,0.77888084,5710372.20364867
0.000000,-1.0000,parametric,5,75.35070165,0.78042383,5786917.54527653
0.000000,-1.0000,parametric,5,75.55110245,0.78197428,5864281.54466137
0.000000,-1.0000,parametric,5,75.75150325,0.78353222,5942470.75101900
0.000000,-1.0000,parametric,5,75.95190405,0.78509768,6021491.74840139
0.000000,-1.0000,parametric,5,76.15230485,0.78667069,6101351.15578901
0.000000,-1.0000,parametric,5,76.35270565,0.78825127,6182055.62718329
0.000000,-1.0000,parametric,5,76.55310645,0.78983945,6263611.85169900
0.000000,-1.0000,parametric,5,76.75350725,0.79143526,6346026.55365665
0.000000,-1.0000,parametric,5,76.95390805,0.79303872,6429306.49267489
0.000000,-1.0000,parametric,5,77.15430885,0.79464986,6513458.46376295
0.000000,-1.0000,parametric,5,77.35470965,0.79626871,6598489.29741299
0.000000,-1.0000,parametric,5,77.55511044,0.79789529,6684405.85969254
0.000000,-1.0000,parametric,5,77.75551124,0.79952964,6771215.05233689
0.000000,-1.0000,parametric,5,77.95591204,0.80117178,6858923.81284152
0.000000,-1.0000,parametric,5,78.15631284,0.80282174,6947539.11455442
0.000000,-1.0000,parametric,5,78.35671364,0.80447955,7037067.96676863
0.000000,-1.0000,parametric,5,78.55711444,0.80614523,7127517.41481451
0.000000,-1.0000,parametric,5,78.75751524,0.80781881,7218894.54015222
0.000000,-1.0000,parametric,5,78.95791604,0.80950032,7311206.46046411
