theta1,theta2,w_mid,omega0_exact,omega0_param,rel_err
0.157333,0.000000,0.000000,0.41011590,0.40183089,2.020162e-02
0.161545,0.000000,0.000000,0.40715336,0.39856227,2.110038e-02
0.165758,0.000000,0.000000,0.40422279,0.39532892,2.200238e-02
0.169970,0.000000,0.000000,0.40132372,0.39213101,2.290598e-02
0.174182,0.000000,0.000000,0.39845572,0.38896870,2.380948e-02
0.178394,0.000000,0.000000,0.39561835,0.38584216,2.471115e-02
0.182606,0.000000,0.000000,0.39281115,0.38275159,2.560915e-02
0.186818,0.000000,0.000000,0.39003371,0.37969719,2.650162e-02
0.191030,0.000000,0.000000,0.38728562,0.37667916,2.738665e-02
0.195242,0.000000,0.000000,0.38456645,0.37369774,2.826224e-02
0.199455,0.000000,0.000000,0.38187582,0.37075317,2.912635e-02
0.203667,0.000000,0.000000,0.37921329,0.36784569,2.997681e-02
0.207879,0.000000,0.000000,0.37657852,0.36497556,3.081152e-02
0.212091,0.000000,0.000000,0.37397109,0.36214307,3.162816e-02
0.216303,0.000000,0.000000,0.37139064,0.35934850,3.242447e-02
0.220515,0.000000,0.000000,0.36883679,0.35659214,3.319802e-02
0.224727,0.000000,0.000000,0.36630918,0.35387431,3.394638e-02
0.228939,0.000000,0.000000,0.36380746,0.35119534,3.466702e-02
0.233152,0.000000,0.000000,0.36133126,0.34855555,3.535734e-02
0.237364,0.000000,0.000000,0.35888024,0.34595530,3.601464e-02
0.241576,0.000000,0.000000,0.35645407,0.34339495,3.663621e-02
0.245788,0.000000,0.000000,0.35405242,0.34087486,3.721922e-02
0.250000,0.000000,0.000000,0.35167493,0.33839543,3.776073e-02
-0.167000,0.060606,0.060590,0.79017628,0.76676067,2.963341e-02
-0.162788,0.060606,0.060590,0.78227389,0.76026644,2.813266e-02
-0.158576,0.060606,0.060590,0.77448939,0.75383246,2.667167e-02
-0.154364,0.060606,0.060590,0.76682045,0.74745795,2.525037e-02
-0.150152,0.060606,0.060590,0.75926481,0.74114212,2.386873e-02
-0.145939,0.060606,0.060590,0.75182023,0.73488421,2.252669e-02
-0.141727,0.060606,0.060590,0.74448456,0.72868347,2.122420e-02
-0.137515,0.060606,0.060590,0.73725568,0.72253916,1.996121e-02
-0.133303,0.060606,0.060590,0.73013152,0.71645055,1.873768e-02
-0.129091,0.060606,0.060590,0.72311008,0.71041693,1.755356e-02
-0.124879,0.060606,0.060590,0.71618939,0.70443759,1.640879e-02
-0.120667,0.060606,0.060590,0.70936753,0.69851184,1.530334e-02
-0.116455,0.060606,0.060590,0.70264263,0.69263900,1.423715e-02
-0.112242,0.060606,0.060590,0.69601286,0.68681841,1.321017e-02
-0.108030,0.060606,0.060590,0.68947643,0.68104941,1.222235e-02
-0.103818,0.060606,0.060590,0.68303161,0.67533136,1.127363e-02
-0.099606,0.060606,0.060590,0.67667668,0.66966363,1.036396e-02
-0.095394,0.060606,0.060590,0.67040999,0.66404561,9.493267e-03
-0.091182,0.060606,0.060590,0.66422991,0.65847668,8.661498e-03
-0.086970,0.060606,0.060590,0.65813484,0.65295626,7.868580e-03
-0.082758,0.060606,0.060590,0.65212325,0.64748375,7.114444e-03
-0.078545,0.060606,0.060590,0.64619360,0.64205861,6.399008e-03
-0.074333,0.060606,0.060590,0.64034443,0.63668026,5.722191e-03
-0.070121,0.060606,0.060590,0.63457428,0.63134816,5.083905e-03
-0.065909,0.060606,0.060590,0.62888172,0.62606179,4.484051e-03
-0.061697,0.060606,0.060590,0.62326539,0.62082061,3.922531e-03
-0.057485,0.060606,0.060590,0.61772392,0.61562413,3.399232e-03
-0.053273,0.060606,0.060590,0.61225599,0.61047185,2.914038e-03
-0.049061,0.060606,0.060590,0.60686031,0.60536329,2.466823e-03
-0.044848,0.060606,0.060590,0.60153560,0.60029797,2.057450e-03
-0.040636,0.060606,0.060590,0.59628063,0.59527543,1.685776e-03
-0.036424,0.060606,0.060590,0.59109418,0.59029524,1.351640e-03
-0.032212,0.060606,0.060590,0.58597508,0.58535695,1.054880e-03
-0.028000,0.060606,0.060590,0.58092216,0.58046014,7.953191e-04
-0.023788,0.060606,0.060590,0.57593428,0.57560441,5.727610e-04
-0.019576,0.060606,0.060590,0.57101033,0.57078935,3.870082e-04
-0.015364,0.060606,0.060590,0.56614923,0.56601458,2.378397e-04
-0.011152,0.060606,0.060590,0.56134991,0.56127973,1.250244e-04
-0.006939,0.060606,0.060590,0.55661133,0.55658443,4.832094e-05
-0.002727,0.060606,0.060590,0.55193246,0.55192834,7.464300e-06
0.001485,0.060606,0.060590,0.54731232,0.54731112,2.177606e-06
0.005697,0.060606,0.060590,0.54274991,0.54273245,3.216396e-05
0.009909,0.060606,0.060590,0.53824429,0.53819202,9.711510e-05
0.014121,0.060606,0.060590,0.53379451,0.53368952,1.966959e-04
0.018333,0.060606,0.060590,0.52939966,0.52922466,3.305576e-04
0.022545,0.060606,0.060590,0.52505884,0.52479718,4.983328e-04
0.026758,0.060606,0.060590,0.52077115,0.52040681,6.996286e-04
0.030970,0.060606,0.060590,0.51653575,0.51605329,9.340337e-04
0.035182,0.060606,0.060590,0.51235179,0.51173640,1.201112e-03
0.039394,0.060606,0.060590,0.50821843,0.50745589,1.500405e-03
0.043606,0.060606,0.060590,0.50413486,0.50321157,1.831436e-03
0.047818,0.060606,0.060590,0.50010029,0.49900322,2.193692e-03
0.052030,0.060606,0.060590,0.49611393,0.49483066,2.586647e-03
0.056242,0.060606,0.060590,0.49217502,0.49069370,3.009740e-03
0.060455,0.060606,0.060590,0.48828282,0.48659220,3.462383e-03
0.064667,0.060606,0.060590,0.48443658,0.48252598,3.943966e-03
0.068879,0.060606,0.060590,0.48063558,0.47849491,4.453842e-03
0.073091,0.060606,0.060590,0.47687913,0.47449886,4.991341e-03
0.077303,0.060606,0.060590,0.47316652,0.47053772,5.555759e-03
0.081515,0.060606,0.060590,0.46949707,0.46661137,6.146360e-03
0.085727,0.060606,0.060590,0.46587012,0.46271974,6.762367e-03
0.089939,0.060606,0.060590,0.46228503,0.45886273,7.402990e-03
0.094152,0.060606,0.060590,0.45874113,0.45504029,8.067383e-03
0.098364,0.060606,0.060590,0.45523781,0.45125235,8.754677e-03
0.102576,0.060606,0.060590,0.45177445,0.44749887,9.463964e-03
0.106788,0.060606,0.060590,0.44835044,0.44377983,1.019429e-02
0.111000,0.060606,0.060590,0.44496520,0.44009520,1.094468e-02
0.115212,0.060606,0.060590,0.44161813,0.43644497,1.171410e-02
0.119424,0.060606,0.060590,0.43830867,0.43282916,1.250148e-02
0.123636,0.060606,0.060590,0.43503625,0.42924778,1.330572e-02
0.127848,0.060606,0.060590,0.43180032,0.42570085,1.412567e-02
0.132061,0.060606,0.060590,0.42860035,0.42218844,1.496013e-02
0.136273,0.060606,0.060590,0.42543581,0.41871057,1.580786e-02
0.140485,0.060606,0.060590,0.42230616,0.41526734,1.666757e-02
0.144697,0.060606,0.060590,0.41921090,0.41185881,1.753795e-02
0.148909,0.060606,0.060590,0.41614954,0.40848507,1.841758e-02
0.153121,0.060606,0.060590,0.41312157,0.40514623,1.930506e-02
0.157333,0.060606,0.060590,0.41012651,0.40184241,2.019890e-02
0.161545,0.060606,0.060590,0.40716389,0.39857373,2.109757e-02
0.165758,0.060606,0.060590,0.40423325,0.39534033,2.199947e-02
0.169970,0.060606,0.060590,0.40133411,0.39214236,2.290298e-02
0.174182,0.060606,0.060590,0.39846604,0.38898000,2.380639e-02
0.178394,0.060606,0.060590,0.39562858,0.38585341,2.470795e-02
0.182606,0.060606,0.060590,0.39282132,0.38276279,2.560585e-02
0.186818,0.060606,0.060590,0.39004381,0.37970834,2.649823e-02
0.191030,0.060606,0.060590,0.38729564,0.37669027,2.738315e-02
0.195242,0.060606,0.060590,0.38457641,0.37370880,2.825863e-02
0.199455,0.060606,0.060590,0.38188570,0.37076418,2.912262e-02
0.203667,0.060606,0.060590,0.37922311,0.36785666,2.997300e-02
0.207879,0.060606,0.060590,0.37658826,0.36498649,3.080758e-02
0.212091,0.060606,0.060590,0.37398077,0.36215396,3.162412e-02
0.216303,0.060606,0.060590,0.37140025,0.35935934,3.242030e-02
0.220515,0.060606,0.060590,0.36884633,0.35660294,3.319374e-02
0.224727,0.060606,0.060590,0.36631866,0.35388508,3.394199e-02
0.228939,0.060606,0.060590,0.36381687,0.35120606,3.466251e-02
0.233152,0.060606,0.060590,0.36134060,0.34856624,3.535270e-02
0.237364,0.060606,0.060590,0.35888953,0.34596595,3.600990e-02
0.241576,0.060606,0.060590,0.35646329,0.34340556,3.663136e-02
0.245788,0.060606,0.060590,0.35406157,0.34088544,3.721424e-02
0.250000,0.060606,0.060590,0.35168403,0.33840597,3.775563e-02
-0.167000,0.121212,0.121181,0.79023771,0.76681626,2.963848e-02
-0.162788,0.121212,0.121181,0.78233469,0.76032165,2.813763e-02
-0.158576,0.121212,0.121181,0.77454959,0.75388729,2.667653e-02
-0.154364,0.121212,0.121181,0.76688006,0.74751240,2.525513e-02
-0.150152,0.121212,0.121181,0.75932383,0.74119620,2.387338e-02
-0.145939,0.121212,0.121181,0.75187867,0.73493792,2.253123e-02
-0.141727,0.121212,0.121181,0.74454243,0.72873681,2.122863e-02
-0.137515,0.121212,0.121181,0.73731298,0.72259214,1.996553e-02
-0.133303,0.121212,0.121181,0.73018827,0.71650317,1.874188e-02
-0.129091,0.121212,0.121181,0.72316628,0.71046918,1.755765e-02
-0.124879,0.121212,0.121181,0.71624505,0.70448948,1.641277e-02
-0.120667,0.121212,0.121181,0.70942266,0.69856338,1.530721e-02
-0.116455,0.121212,0.121181,0.70269723,0.69269019,1.424090e-02
-0.112242,0.121212,0.121181,0.69606695,0.68686925,1.321380e-02
-0.108030,0.121212,0.121181,0.68953001,0.68109991,1.222586e-02
-0.103818,0.121212,0.121181,0.68308469,0.67538152,1.127703e-02
-0.099606,0.121212,0.121181,0.67672926,0.66971345,1.036724e-02
-0.095394,0.121212,0.121181,0.67046208,0.66409509,9.496426e-03
-0.091182,0.121212,0.121181,0.66428152,0.65852583,8.664535e-03
-0.086970,0.121212,0.121181,0.65818598,0.65300507,7.871495e-03
-0.082758,0.121212,0.121181,0.65217392,0.64753224,7.117233e-03
-0.078545,0.121212,0.121181,0.64624381,0.64210677,6.401673e-03
-0.074333,0.121212,0.121181,0.64039418,0.63672810,5.724728e-03
-0.070121,0.121212,0.121181,0.63462358,0.63139569,5.086313e-03
-0.065909,0.121212,0.121181,0.62893058,0.62610899,4.486329e-03
-0.061697,0.121212,0.121181,0.62331381,0.62086751,3.924676e-03
-0.057485,0.121212,0.121181,0.61777191,0.61567072,3.401245e-03
-0.053273,0.121212,0.121181,0.61230356,0.61051813,2.915917e-03
-0.049061,0.121212,0.121181,0.60690745,0.60540926,2.468565e-03
-0.044848,0.121212,0.121181,0.60158233,0.60034364,2.059051e-03
-0.040636,0.121212,0.121181,0.59632695,0.59532081,1.687237e-03
-0.036424,0.121212,0.121181,0.59114010,0.59034031,1.352961e-03
-0.032212,0.121212,0.121181,0.58602060,0.58540173,1.056057e-03
-0.028000,0.121212,0.121181,0.58096728,0.58050463,7.963481e-04
-0.023788,0.121212,0.121181,0.57597902,0.57564861,5.736417e-04
-0.019576,0.121212,0.121181,0.57105469,0.57083327,3.877377e-04
-0.015364,0.121212,0.121181,0.56619321,0.56605822,2.384164e-04
-0.011152,0.121212,0.121181,0.56139351,0.56132309,1.254473e-04
-0.006939,0.121212,0.121181,0.55665456,0.55662751,4.858587e-05
-0.002727,0.121212,0.121181,0.55197533,0.55197115,7.568445e-06
0.001485,0.121212,0.121181,0.54735483,0.54735367,2.120492e-06
0.005697,0.121212,0.121181,0.54279207,0.54277473,3.194193e-05
0.009909,0.121212,0.121181,0.53828609,0.53823403,9.672501e-05
0.014121,0.121212,0.121181,0.53383597,0.53373127,1.961348e-04
0.018333,0.121212,0.121181,0.52944078,0.52926615,3.298268e-04
0.022545,0.121212,0.121181,0.52509961,0.52483842,4.974265e-04
0.026758,0.121212,0.121181,0.52081160,0.52044779,6.985415e-04
0.030970,0.121212,0.121181,0.51657587,0.51609403,9.327673e-04
0.035182,0.121212,0.121181,0.51239158,0.51177688,1.199660e-03
0.039394,0.121212,0.121181,0.50825790,0.50749613,1.498769e-03
0.043606,0.121212,0.121181,0.50417401,0.50325157,1.829608e-03
0.047818,0.121212,0.121181,0.50013912,0.49904298,2.191674e-03
0.052030,0.121212,0.121181,0.49615246,0.49487018,2.584432e-03
0.056242,0.121212,0.121181,0.49221324,0.49073300,3.007323e-03
