exp_1,exp_2,exp_3,exp_4,R1_re,R1_im,R2_re,R2_im,R3_re,R3_im,R4_re,R4_im
3,2,0,2,-4.1410545651582597e-13,8.416314567164337e-10,0.0,0.0,0.0,0.0,0.0,0.0
2,3,2,0,0.0,-0.0,1.2573842547729648e-8,3.358010482613659e-9,0.0,0.0,0.0,0.0
2,3,1,1,0.0,-0.0,1.7446345318073105e-16,2.893870225750751e-13,0.0,0.0,0.0,0.0
2,3,0,2,0.0,-0.0,-4.1410545651582597e-13,-8.416314567164337e-10,0.0,0.0,0.0,0.0
2,1,4,0,-0.0002144951150505592,-0.0003702886865751797,0.0,0.0,0.0,0.0,0.0,0.0
2,1,3,1,-4.504939159602965e-9,1.4931935911147158e-9,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,2,3.507125212564002e-6,1.0574003704186252e-6,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,3,-1.4435905854948064e-12,-2.8012786570357774e-11,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,4,-6.909244247887116e-14,6.290371921812896e-8,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,0,0.0,-0.0,-0.0002144951150505592,0.0003702886865751797,0.0,0.0,0.0,0.0
1,2,3,1,0.0,-0.0,-4.504939159602965e-9,-1.4931935911147158e-9,0.0,0.0,0.0,0.0
1,2,2,2,0.0,-0.0,3.507125212564002e-6,-1.0574003704186252e-6,0.0,0.0,0.0,0.0
1,2,1,3,0.0,-0.0,-1.4435905854948064e-12,2.8012786570357774e-11,0.0,0.0,0.0,0.0
1,2,0,4,0.0,-0.0,-6.909244247887116e-14,-6.290371921812896e-8,0.0,0.0,0.0,0.0
4,3,1,0,-3.528628501440816e-13,9.975014229453124e-13,0.0,0.0,0.0,0.0,0.0,0.0
3,4,1,0,0.0,-0.0,-3.528628501440816e-13,-9.975014229453124e-13,0.0,0.0,0.0,0.0
3,2,3,0,4.5979177292508374e-8,1.8471491575401e-8,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,1,1.101201528071234e-13,-2.1523792424100425e-12,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1,2,-8.580362090386843e-10,1.997400609458787e-9,0.0,0.0,0.0,0.0,0.0,0.0
2,3,3,0,0.0,-0.0,4.5979177292508374e-8,-1.8471491575401e-8,0.0,0.0,0.0,0.0
2,3,2,1,0.0,-0.0,1.101201528071234e-13,2.1523792424100425e-12,0.0,0.0,0.0,0.0
2,3,1,2,0.0,-0.0,-8.580362090386843e-10,-1.997400609458787e-9,0.0,0.0,0.0,0.0
4,3,2,0,-2.8619403485339246e-12,1.4686918046236728e-12,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0,2,2.412078479306893e-16,-2.636382271062027e-13,0.0,0.0,0.0,0.0,0.0,0.0
3,4,2,0,0.0,-0.0,-2.8619403485339246e-12,-1.4686918046236728e-12,0.0,0.0,0.0,0.0
3,4,0,2,0.0,-0.0,2.412078479306893e-16,2.636382271062027e-13,0.0,0.0,0.0,0.0
3,2,4,0,1.0199147498327227e-7,1.687818464925074e-7,0.0,0.0,0.0,0.0,0.0,0.0
3,2,3,1,1.7531965554334535e-12,-3.5082615521721435e-12,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,2,-2.5853626767910027e-9,7.932984954068377e-10,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1,3,-2.38218839912964e-17,2.991016736051742e-14,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0,4,3.0429291778999163e-14,-5.933968360392841e-11,0.0,0.0,0.0,0.0,0.0,0.0
2,3,4,0,0.0,-0.0,1.0199147498327227e-7,-1.687818464925074e-7,0.0,0.0,0.0,0.0
2,3,3,1,0.0,-0.0,1.7531965554334535e-12,3.5082615521721435e-12,0.0,0.0,0.0,0.0
2,3,2,2,0.0,-0.0,-2.5853626767910027e-9,-7.932984954068377e-10,0.0,0.0,0.0,0.0
2,3,1,3,0.0,-0.0,-2.38218839912964e-17,-2.991016736051742e-14,0.0,0.0,0.0,0.0
2,3,0,4,0.0,-0.0,3.0429291778999163e-14,5.933968360392841e-11,0.0,0.0,0.0,0.0
