theta1,theta2,model,amplitude,shift
-0.100000,0.000000,exact,4.7202434200,0.0368043155
-0.100000,0.000000,exact,4.7679226451,0.0374919753
-0.100000,0.000000,exact,4.8156018701,0.0381843553
-0.100000,0.000000,exact,4.8632810951,0.0388813976
-0.100000,0.000000,exact,4.9109603201,0.0395830435
-0.100000,0.000000,exact,4.9586395452,0.0402892337
-0.100000,0.000000,exact,5.0063187702,0.0409999083
-0.100000,0.000000,exact,5.0539979952,0.0417150065
-0.100000,0.000000,exact,5.1016772202,0.0424344670
-0.100000,0.000000,exact,5.1493564453,0.0431582275
-0.100000,0.000000,exact,5.1970356703,0.0438862248
-0.100000,0.000000,exact,5.2447148953,0.0446183950
-0.100000,0.000000,exact,5.2923941203,0.0453546732
-0.100000,0.000000,exact,5.3400733454,0.0460949935
-0.100000,0.000000,exact,5.3877525704,0.0468392890
-0.100000,0.000000,exact,5.4354317954,0.0475874917
-0.100000,0.000000,exact,5.4831110205,0.0483395325
-0.100000,0.000000,exact,5.5307902455,0.0490953412
-0.100000,0.000000,exact,5.5784694705,0.0498548461
-0.100000,0.000000,exact,5.6261486955,0.0506179744
-0.100000,0.000000,exact,5.6738279206,0.0513846520
-0.100000,0.000000,exact,5.7215071456,0.0521548033
-0.100000,0.000000,exact,5.7691863706,0.0529283509
-0.100000,0.000000,exact,5.8168655956,0.0537052164
-0.100000,0.000000,exact,5.8645448207,0.0544853193
-0.100000,0.000000,exact,5.9122240457,0.0552685775
-0.100000,0.000000,exact,5.9599032707,0.0560549073
-0.100000,0.000000,exact,6.0075824957,0.0568442228
-0.100000,0.000000,exact,6.0552617208,0.0576364364
-0.100000,0.000000,exact,6.1029409458,0.0584314583
-0.100000,0.000000,exact,6.1506201708,0.0592291966
-0.100000,0.000000,exact,6.1982993958,0.0600295573
-0.100000,0.000000,exact,6.2459786209,0.0608324438
-0.100000,0.000000,exact,6.2936578459,0.0616377573
-0.100000,0.000000,exact,6.3413370709,0.0624453964
-0.100000,0.000000,exact,6.3890162959,0.0632552570
-0.100000,0.000000,exact,6.4366955210,0.0640672324
-0.100000,0.000000,exact,6.4843747460,0.0648812130
-0.100000,0.000000,exact,6.5320539710,0.0656970861
-0.100000,0.000000,exact,6.5797331961,0.0665147360
