theta1,theta2,omega0_exact,omega0_param,delta_omega0_rel,shift_rms_err,shift_max_err
-0.100000,0.000000,0.67724972,0.67017497,1.0446e-02,9.8680e-03,3.4489e-02
0.000000,0.000000,0.54892015,0.54892015,8.0902e-16,2.0528e-16,4.9960e-16
0.100000,0.000000,0.45387587,0.44977773,9.0292e-03,4.8239e-03,1.5822e-02
-0.100000,3.000000,0.71884315,0.70969163,1.2731e-02,1.9460e-01,6.7506e-01
0.000000,3.000000,0.58261887,0.58254929,1.1942e-04,1.2593e-01,4.4196e-01
0.100000,3.000000,0.48173070,0.47885230,5.9751e-03,5.5284e-02,1.9844e-01
-0.100000,6.000000,0.83008298,0.81387900,1.9521e-02,1.3989e+00,4.5867e+00
0.000000,6.000000,0.67276474,0.66907474,5.4848e-03,1.3171e+00,4.3354e+00
0.100000,6.000000,0.55625661,0.55171538,8.1639e-03,8.4826e-01,2.8017e+00
