order,eta,Re,rho,omega,T,avg_TKE,max_abs_lift
3.0000000000e+00,-1.3235157231e-03,5.2432444950e+01,1.6158485294e+00,1.7122032592e+01,3.6696491920e-01,5.0152994182e-03,9.1135153353e-03
3.0000000000e+00,-1.3398770567e-03,5.2477463520e+01,1.6258485161e+00,1.7125294103e+01,3.6689503080e-01,5.0657146294e-03,9.1672613650e-03
3.0000000000e+00,-1.3563320140e-03,5.2522817730e+01,1.6358485025e+00,1.7128575354e+01,3.6682474620e-01,5.1170026310e-03,9.2209989921e-03
3.0000000000e+00,-1.3728804701e-03,5.2568508780e+01,1.6458484888e+00,1.7131876337e+01,3.6675406610e-01,5.1692055704e-03,9.2747280822e-03
3.0000000000e+00,-1.3895222991e-03,5.2614537880e+01,1.6558484750e+00,1.7135197047e+01,3.6668299120e-01,5.2223668341e-03,9.3284484994e-03
3.0000000000e+00,-1.4062573750e-03,5.2660906250e+01,1.6658484610e+00,1.7138537475e+01,3.6661152190e-01,5.2765310656e-03,9.3821601072e-03
3.0000000000e+00,-1.4230855713e-03,5.2707615100e+01,1.6758484468e+00,1.7141897617e+01,3.6653965900e-01,5.3317441841e-03,9.4358627676e-03
3.0000000000e+00,-1.4400067608e-03,5.2754665700e+01,1.6858484325e+00,1.7145277464e+01,3.6646740310e-01,5.3880534027e-03,9.4895563420e-03
3.0000000000e+00,-1.4570208160e-03,5.2802059290e+01,1.6958484180e+00,1.7148677011e+01,3.6639475470e-01,5.4455072471e-03,9.5432406902e-03
3.0000000000e+00,-1.4741276089e-03,5.2849797130e+01,1.7058484034e+00,1.7152096251e+01,3.6632171460e-01,5.5041555746e-03,9.5969156715e-03
3.0000000000e+00,-1.4913270110e-03,5.2897880500e+01,1.7158483886e+00,1.7155535177e+01,3.6624828330e-01,5.5640495924e-03,9.6505811437e-03
3.0000000000e+00,-1.5086188935e-03,5.2946310700e+01,1.7258483736e+00,1.7158993782e+01,3.6617446150e-01,5.6252418770e-03,9.7042369637e-03
3.0000000000e+00,-1.5260031269e-03,5.2995089030e+01,1.7358483585e+00,1.7162472060e+01,3.6610024970e-01,5.6877863929e-03,9.7578829873e-03
3.0000000000e+00,-1.5434795815e-03,5.3044216790e+01,1.7458483433e+00,1.7165970003e+01,3.6602564880e-01,5.7517385121e-03,9.8115190692e-03
3.0000000000e+00,-1.5610481269e-03,5.3093695320e+01,1.7558483278e+00,1.7169487605e+01,3.6595065920e-01,5.8171550333e-03,9.8652634127e-03
3.0000000000e+00,-1.5787086325e-03,5.3143525960e+01,1.7658483122e+00,1.7173024860e+01,3.6587528160e-01,5.8840942013e-03,9.9190206097e-03
3.0000000000e+00,-1.5964609671e-03,5.3193710060e+01,1.7758482965e+00,1.7176581759e+01,3.6579951680e-01,5.9526157265e-03,9.9727696748e-03
3.0000000000e+00,-1.6143049992e-03,5.3244248980e+01,1.7858482806e+00,1.7180158297e+01,3.6572336520e-01,6.0227808048e-03,1.0026510467e-02
3.0000000000e+00,-1.6322405968e-03,5.3295144110e+01,1.7958482645e+00,1.7183754466e+01,3.6564682760e-01,6.0946521369e-03,1.0080242845e-02
3.0000000000e+00,-1.6502676274e-03,5.3346396830e+01,1.8058482482e+00,1.7187370260e+01,3.6556990470e-01,6.1682939488e-03,1.0133966665e-02
3.0000000000e+00,-1.6683859582e-03,5.3398008550e+01,1.8158482318e+00,1.7191005671e+01,3.6549259700e-01,6.2437720114e-03,1.0187681783e-02
3.0000000000e+00,-1.6865954561e-03,5.3449980690e+01,1.8258482152e+00,1.7194660693e+01,3.6541490520e-01,6.3211536611e-03,1.0241388053e-02
3.0000000000e+00,-1.7048959872e-03,5.3502314670e+01,1.8358481985e+00,1.7198335318e+01,3.6533683000e-01,6.4005078193e-03,1.0295085330e-02
3.0000000000e+00,-1.7232874176e-03,5.3555011950e+01,1.8458481816e+00,1.7202029540e+01,3.6525837210e-01,6.4819050137e-03,1.0348773465e-02
3.0000000000e+00,-1.7417696128e-03,5.3608073990e+01,1.8558481645e+00,1.7205743352e+01,3.6517953210e-01,6.5654173981e-03,1.0402452310e-02
3.0000000000e+00,-1.7603424379e-03,5.3661502240e+01,1.8658481472e+00,1.7209476746e+01,3.6510031070e-01,6.6511187734e-03,1.0456121714e-02
3.0000000000e+00,-1.7790057577e-03,5.3715298210e+01,1.8758481298e+00,1.7213229715e+01,3.6502070860e-01,6.7390846082e-03,1.0509781526e-02
3.0000000000e+00,-1.7977594366e-03,5.3769463390e+01,1.8858481122e+00,1.7217002252e+01,3.6494072630e-01,6.8293920598e-03,1.0563431594e-02
3.0000000000e+00,-1.8166033385e-03,5.3823999290e+01,1.8958480945e+00,1.7220794351e+01,3.6486036470e-01,6.9221199952e-03,1.0617071765e-02
3.0000000000e+00,-1.8355373270e-03,5.3878907440e+01,1.9058480766e+00,1.7224606003e+01,3.6477962430e-01,7.0173490120e-03,1.0670701883e-02
3.0000000000e+00,-1.8545612653e-03,5.3934189400e+01,1.9158480585e+00,1.7228437203e+01,3.6469850590e-01,7.1151614597e-03,1.0724321793e-02
3.0000000000e+00,-1.8736750164e-03,5.3989846700e+01,1.9258480402e+00,1.7232287942e+01,3.6461701010e-01,7.2156414615e-03,1.0777931338e-02
3.0000000000e+00,-1.8928784426e-03,5.4045880930e+01,1.9358480218e+00,1.7236158214e+01,3.6453513770e-01,7.3188749349e-03,1.0831530359e-02
3.0000000000e+00,-1.9121714061e-03,5.4102293680e+01,1.9458480032e+00,1.7240048010e+01,3.6445288920e-01,7.4249496144e-03,1.0885118697e-02
3.0000000000e+00,-1.9315537687e-03,5.4159086530e+01,1.9558479844e+00,1.7243957325e+01,3.6437026540e-01,7.5339550722e-03,1.0938696192e-02
3.0000000000e+00,-1.9510253917e-03,5.4216261120e+01,1.9658479654e+00,1.7247886151e+01,3.6428726700e-01,7.6459827406e-03,1.0992262682e-02
3.0000000000e+00,-1.9705861363e-03,5.4273819070e+01,1.9758479463e+00,1.7251834480e+01,3.6420389460e-01,7.7611259341e-03,1.1045818004e-02
3.0000000000e+00,-1.9902358631e-03,5.4331762030e+01,1.9858479270e+00,1.7255802305e+01,3.6412014900e-01,7.8794798709e-03,1.1099361993e-02
3.0000000000e+00,-2.0099744326e-03,5.4390091670e+01,1.9958479075e+00,1.7259789619e+01,3.6403603090e-01,8.0011416958e-03,1.1152894485e-02
3.0000000000e+00,-2.0298017047e-03,5.4448809650e+01,2.0058478878e+00,1.7263796415e+01,3.6395154090e-01,8.1262105019e-03,1.1206415312e-02
3.0000000000e+00,-2.0497175391e-03,5.4507917690e+01,2.0158478680e+00,1.7267822685e+01,3.6386667980e-01,8.2547873537e-03,1.1259924308e-02
3.0000000000e+00,-2.0697217953e-03,5.4567417470e+01,2.0258478480e+00,1.7271868421e+01,3.6378144820e-01,8.3869753091e-03,1.1313421303e-02
3.0000000000e+00,-2.0898143323e-03,5.4627310740e+01,2.0358478278e+00,1.7275933618e+01,3.6369584690e-01,8.5228794425e-03,1.1366906127e-02
3.0000000000e+00,-2.1099950087e-03,5.4687599230e+01,2.0458478075e+00,1.7280018266e+01,3.6360987650e-01,8.6626068673e-03,1.1420378609e-02
3.0000000000e+00,-2.1302636831e-03,5.4748284700e+01,2.0558477869e+00,1.7284122359e+01,3.6352353780e-01,8.8062667594e-03,1.1473838577e-02
3.0000000000e+00,-2.1506202134e-03,5.4809368920e+01,2.0658477662e+00,1.7288245889e+01,3.6343683140e-01,8.9539703794e-03,1.1527285857e-02
3.0000000000e+00,-2.1710644576e-03,5.4870853700e+01,2.0758477453e+00,1.7292388849e+01,3.6334975820e-01,9.1058310968e-03,1.1580720274e-02
3.0000000000e+00,-2.1915962730e-03,5.4932740820e+01,2.0858477242e+00,1.7296551232e+01,3.6326231880e-01,9.2619644126e-03,1.1634141652e-02
3.0000000000e+00,-2.2122155170e-03,5.4995032130e+01,2.0958477030e+00,1.7300733029e+01,3.6317451390e-01,9.4224879830e-03,1.1687549813e-02
3.0000000000e+00,-2.2329220462e-03,5.5057729470e+01,2.1058476815e+00,1.7304934233e+01,3.6308634420e-01,9.5875216430e-03,1.1740944580e-02
5.0000000000e+00,1.9006442388e-05,4.8984352170e+01,1.0000000000e-04,1.6858045629e+01,3.7271137150e-01,3.3176158734e-11,3.8842207919e-04
5.0000000000e+00,1.9006426643e-05,4.8984352210e+01,2.0000000000e-04,1.6858045632e+01,3.7271137140e-01,1.3270463382e-10,3.8896218778e-04
5.0000000000e+00,1.9006391240e-05,4.8984352300e+01,3.5000000000e-04,1.6858045640e+01,3.7271137120e-01,4.0640793173e-10,3.8977235106e-04
5.0000000000e+00,1.9006300216e-05,4.8984352520e+01,5.7500000000e-04,1.6858045661e+01,3.7271137080e-01,1.0968866500e-09,3.9098759707e-04
5.0000000000e+00,1.9006078362e-05,4.8984353050e+01,9.1250000000e-04,1.6858045709e+01,3.7271136970e-01,2.7624329578e-09,3.9281046852e-04
5.0000000000e+00,1.9005553614e-05,4.8984354310e+01,1.4187500000e-03,1.6858045824e+01,3.7271136720e-01,6.6778645614e-09,3.9554478119e-04
5.0000000000e+00,1.9003954915e-05,4.8984358140e+01,2.1781250000e-03,1.6858046112e+01,3.7271136080e-01,1.5739506965e-08,3.9964626888e-04
5.0000000000e+00,1.9000672961e-05,4.8984366020e+01,3.3171875000e-03,1.6858046749e+01,3.7271134670e-01,3.6506046589e-08,4.0579852663e-04
5.0000000000e+00,1.8993198993e-05,4.8984383950e+01,5.0257812500e-03,1.6858048200e+01,3.7271131470e-01,8.3797332371e-08,4.1502698151e-04
5.0000000000e+00,1.8976248254e-05,4.8984424620e+01,7.5886718749e-03,1.6858051491e+01,3.7271124190e-01,1.9105158640e-07,4.2886981674e-04
5.0000000000e+00,1.8937907863e-05,4.8984516620e+01,1.1433007812e-02,1.6858058936e+01,3.7271107730e-01,4.3364186826e-07,4.4963441164e-04
5.0000000000e+00,1.8851341347e-05,4.8984724340e+01,1.7199511718e-02,1.6858075745e+01,3.7271070570e-01,9.8134647204e-07,4.8078206667e-04
5.0000000000e+00,1.8656121856e-05,4.8985192770e+01,2.5849267575e-02,1.6858113651e+01,3.7270986760e-01,2.2163653051e-06,5.2750524190e-04
5.0000000000e+00,1.8332678859e-05,4.8985968900e+01,3.5849267570e-02,1.6858176454e+01,3.7270847910e-01,4.2621667714e-06,5.8152448260e-04
5.0000000000e+00,1.7904440473e-05,4.8986996530e+01,4.5849267561e-02,1.6858259604e+01,3.7270664080e-01,6.9700420705e-06,6.3554632847e-04
5.0000000000e+00,1.7371449212e-05,4.8988275600e+01,5.5849267547e-02,1.6858363095e+01,3.7270435280e-01,1.0339083482e-05,6.8957071699e-04
5.0000000000e+00,1.6733758005e-05,4.8989806010e+01,6.5849267527e-02,1.6858486915e+01,3.7270161540e-01,1.4368163048e-05,7.4359758525e-04
5.0000000000e+00,1.5991430170e-05,4.8991587660e+01,7.5849267499e-02,1.6858631052e+01,3.7269842900e-01,1.9055933861e-05,7.9762686987e-04
5.0000000000e+00,1.5144539401e-05,4.8993620440e+01,8.5849267464e-02,1.6858795490e+01,3.7269479370e-01,2.4400831603e-05,8.5165850708e-04
5.0000000000e+00,1.4193169757e-05,4.8995904190e+01,9.5849267418e-02,1.6858980215e+01,3.7269071010e-01,3.0401076328e-05,9.0569243260e-04
5.0000000000e+00,1.3137415649e-05,4.8998438760e+01,1.0584926736e-01,1.6859185207e+01,3.7268617850e-01,3.7054674498e-05,9.5972858168e-04
5.0000000000e+00,1.1977381821e-05,4.9001223980e+01,1.1584926730e-01,1.6859410445e+01,3.7268119950e-01,4.4359421256e-05,1.0137668890e-03
5.0000000000e+00,1.0713183331e-05,4.9004259660e+01,1.2584926722e-01,1.6859655907e+01,3.7267577360e-01,5.2312902941e-05,1.0678072889e-03
5.0000000000e+00,9.3449455370e-06,4.9007545590e+01,1.3584926712e-01,1.6859921569e+01,3.7266990130e-01,6.0912499839e-05,1.1218497148e-03
5.0000000000e+00,7.8728040680e-06,4.9011081550e+01,1.4584926701e-01,1.6860207404e+01,3.7266358340e-01,7.0155389173e-05,1.1758940999e-03
5.0000000000e+00,6.2969048065e-06,4.9014867290e+01,1.5584926689e-01,1.6860513382e+01,3.7265682040e-01,8.0038548318e-05,1.2299403767e-03
5.0000000000e+00,4.6174038605e-06,4.9018902550e+01,1.6584926675e-01,1.6860839475e+01,3.7264961310e-01,9.0558758243e-05,1.2839884769e-03
5.0000000000e+00,2.8344675376e-06,4.9023187050e+01,1.7584926659e-01,1.6861185648e+01,3.7264196230e-01,1.0171260718e-04,1.3380383318e-03
5.0000000000e+00,9.4827231686e-07,4.9027720520e+01,1.8584926641e-01,1.6861551867e+01,3.7263386890e-01,1.1349649450e-04,1.3920898719e-03
5.0000000000e+00,-1.0409951785e-06,4.9032502620e+01,1.9584926622e-01,1.6861938096e+01,3.7262533350e-01,1.2590663482e-04,1.4461430270e-03
5.0000000000e+00,-3.1331382216e-06,4.9037533040e+01,2.0584926600e-01,1.6862344297e+01,3.7261635730e-01,1.3893906230e-04,1.5001977263e-03
5.0000000000e+00,-5.3279500039e-06,4.9042811420e+01,2.1584926576e-01,1.6862770428e+01,3.7260694110e-01,1.5258963516e-04,1.5542538982e-03
5.0000000000e+00,-7.6252136773e-06,4.9048337420e+01,2.2584926549e-01,1.6863216448e+01,3.7259708590e-01,1.6685404036e-04,1.6083114704e-03
5.0000000000e+00,-1.0024702389e-05,4.9054110640e+01,2.3584926520e-01,1.6863682311e+01,3.7258679280e-01,1.8172779854e-04,1.6623703698e-03
5.0000000000e+00,-1.2526179318e-05,4.9060130700e+01,2.4584926489e-01,1.6864167973e+01,3.7257606290e-01,1.9720626906e-04,1.7164305226e-03
5.0000000000e+00,-1.5129397717e-05,4.9066397180e+01,2.5584926455e-01,1.6864673384e+01,3.7256489730e-01,2.1328465531e-04,1.7704918540e-03
5.0000000000e+00,-1.7834100952e-05,4.9072909650e+01,2.6584926419e-01,1.6865198495e+01,3.7255329720e-01,2.2995801009e-04,1.8245542885e-03
5.0000000000e+00,-2.0640022543e-05,4.9079667660e+01,2.7584926379e-01,1.6865743253e+01,3.7254126380e-01,2.4722124129e-04,1.8786177499e-03
5.0000000000e+00,-2.3546886215e-05,4.9086670750e+01,2.8584926337e-01,1.6866307606e+01,3.7252879850e-01,2.6506911760e-04,1.9326821609e-03
5.0000000000e+00,-2.6554405935e-05,4.9093918440e+01,2.9584926292e-01,1.6866891496e+01,3.7251590240e-01,2.8349627447e-04,1.9867474433e-03
5.0000000000e+00,-2.9662285964e-05,4.9101410240e+01,3.0584926244e-01,1.6867494868e+01,3.7250257710e-01,3.0249722014e-04,2.0408135183e-03
5.0000000000e+00,-3.2870220904e-05,4.9109145620e+01,3.1584926192e-01,1.6868117661e+01,3.7248882380e-01,3.2206634193e-04,2.0948803059e-03
5.0000000000e+00,-3.6177895749e-05,4.9117124060e+01,3.2584926137e-01,1.6868759814e+01,3.7247464400e-01,3.4219791250e-04,2.1489477252e-03
5.0000000000e+00,-3.9584985933e-05,4.9125345020e+01,3.3584926079e-01,1.6869421265e+01,3.7246003930e-01,3.6288609641e-04,2.2030156945e-03
5.0000000000e+00,-4.3091157385e-05,4.9133807920e+01,3.4584926018e-01,1.6870101949e+01,3.7244501110e-01,3.8412495667e-04,2.2570841310e-03
5.0000000000e+00,-4.6696066582e-05,4.9142512180e+01,3.5584925953e-01,1.6870801799e+01,3.7242956100e-01,4.0590846144e-04,2.3111529509e-03
5.0000000000e+00,-5.0399360604e-05,4.9151457210e+01,3.6584925884e-01,1.6871520748e+01,3.7241369060e-01,4.2823049091e-04,2.3652220694e-03
5.0000000000e+00,-5.4200677189e-05,4.9160642400e+01,3.7584925812e-01,1.6872258724e+01,3.7239740160e-01,4.5108484416e-04,2.4192914006e-03
5.0000000000e+00,-5.8099644792e-05,4.9170067110e+01,3.8584925736e-01,1.6873015657e+01,3.7238069560e-01,4.7446524623e-04,2.4733608579e-03
5.0000000000e+00,-6.2095882641e-05,4.9179730700e+01,3.9584925656e-01,1.6873791474e+01,3.7236357440e-01,4.9836535514e-04,2.5274303531e-03
5.0000000000e+00,-6.6189000801e-05,4.9189632490e+01,4.0584925573e-01,1.6874586098e+01,3.7234603980e-01,5.2277876916e-04,2.5814997974e-03
5.0000000000e+00,-7.0378600229e-05,4.9199771820e+01,4.1584925485e-01,1.6875399455e+01,3.7232809360e-01,5.4769903399e-04,2.6355691007e-03
5.0000000000e+00,-7.4664272839e-05,4.9210147980e+01,4.2584925393e-01,1.6876231464e+01,3.7230973750e-01,5.7311965009e-04,2.6896381716e-03
5.0000000000e+00,-7.9045601566e-05,4.9220760270e+01,4.3584925297e-01,1.6877082047e+01,3.7229097360e-01,5.9903408008e-04,2.7437069179e-03
5.0000000000e+00,-8.3522160425e-05,4.9231607940e+01,4.4584925197e-01,1.6877951122e+01,3.7227180370e-01,6.2543575614e-04,2.7977752462e-03
5.0000000000e+00,-8.8093514583e-05,4.9242690260e+01,4.5584925092e-01,1.6878838606e+01,3.7225222980e-01,6.5231808747e-04,2.8518430617e-03
5.0000000000e+00,-9.2759220415e-05,4.9254006460e+01,4.6584924984e-01,1.6879744413e+01,3.7223225380e-01,6.7967446782e-04,2.9059102686e-03
5.0000000000e+00,-9.7518825581e-05,4.9265555770e+01,4.7584924870e-01,1.6880668459e+01,3.7221187790e-01,7.0749828302e-04,2.9599767699e-03
5.0000000000e+00,-1.0237186908e-04,4.9277337380e+01,4.8584924753e-01,1.6881610654e+01,3.7219110400e-01,7.3578291853e-04,3.0140424675e-03
5.0000000000e+00,-1.0731788134e-04,4.9289350490e+01,4.9584924630e-01,1.6882570911e+01,3.7216993430e-01,7.6452176706e-04,3.0681072617e-03
5.0000000000e+00,-1.1235638426e-04,4.9301594280e+01,5.0584924503e-01,1.6883549137e+01,3.7214837090e-01,7.9370823613e-04,3.1221710520e-03
5.0000000000e+00,-1.1748689130e-04,4.9314067880e+01,5.1584924372e-01,1.6884545242e+01,3.7212641600e-01,8.2333575573e-04,3.1762337365e-03
5.0000000000e+00,-1.2270890754e-04,4.9326770460e+01,5.2584924235e-01,1.6885559130e+01,3.7210407180e-01,8.5339778587e-04,3.2302952118e-03
5.0000000000e+00,-1.2802192976e-04,4.9339701120e+01,5.3584924094e-01,1.6886590709e+01,3.7208134050e-01,8.8388782424e-04,3.2843553736e-03
5.0000000000e+00,-1.3342544651e-04,4.9352858980e+01,5.4584923948e-01,1.6887639880e+01,3.7205822440e-01,9.1479941381e-04,3.3384141159e-03
5.0000000000e+00,-1.3891893816e-04,4.9366243130e+01,5.5584923797e-01,1.6888706546e+01,3.7203472570e-01,9.4612615041e-04,3.3924804646e-03
5.0000000000e+00,-1.4450187701e-04,4.9379852650e+01,5.6584923642e-01,1.6889790608e+01,3.7201084690e-01,9.7786169032e-04,3.4465514994e-03
5.0000000000e+00,-1.5017372735e-04,4.9393686600e+01,5.7584923481e-01,1.6890891965e+01,3.7198659020e-01,1.0099997579e-03,3.5006215933e-03
5.0000000000e+00,-1.5593394551e-04,4.9407744010e+01,5.8584923315e-01,1.6892010516e+01,3.7196195810e-01,1.0425341529e-03,3.5546906482e-03
5.0000000000e+00,-1.6178197997e-04,4.9422023920e+01,5.9584923144e-01,1.6893146157e+01,3.7193695290e-01,1.0754587585e-03,3.6087585646e-03
5.0000000000e+00,-1.6771727141e-04,4.9436525340e+01,6.0584922968e-01,1.6894298785e+01,3.7191157720e-01,1.1087675480e-03,3.6628252417e-03
5.0000000000e+00,-1.7373925280e-04,4.9451247260e+01,6.1584922786e-01,1.6895468294e+01,3.7188583340e-01,1.1424545933e-03,3.7168905772e-03
5.0000000000e+00,-1.7984734947e-04,4.9466188670e+01,6.2584922600e-01,1.6896654576e+01,3.7185972400e-01,1.1765140713e-03,3.7709544671e-03
5.0000000000e+00,-1.8604097917e-04,4.9481348530e+01,6.3584922408e-01,1.6897857524e+01,3.7183325150e-01,1.2109402721e-03,3.8250168064e-03
5.0000000000e+00,-1.9231955217e-04,4.9496725790e+01,6.4584922211e-01,1.6899077029e+01,3.7180641860e-01,1.2457276061e-03,3.8790774883e-03
5.0000000000e+00,-1.9868247133e-04,4.9512319390e+01,6.5584922009e-01,1.6900312980e+01,3.7177922770e-01,1.2808706112e-03,3.9331364045e-03
5.0000000000e+00,-2.0512913217e-04,4.9528128230e+01,6.6584921801e-01,1.6901565266e+01,3.7175168150e-01,1.3163639604e-03,3.9871934453e-03
5.0000000000e+00,-2.1165892295e-04,4.9544151220e+01,6.7584921588e-01,1.6902833775e+01,3.7172378260e-01,1.3522024688e-03,4.0412484996e-03
5.0000000000e+00,-2.1827122475e-04,4.9560387240e+01,6.8584921369e-01,1.6904118393e+01,3.7169553370e-01,1.3883811012e-03,4.0953014546e-03
5.0000000000e+00,-2.2496541153e-04,4.9576835180e+01,6.9584921145e-01,1.6905419005e+01,3.7166693740e-01,1.4248949791e-03,4.1493521961e-03
5.0000000000e+00,-2.3174085023e-04,4.9593493870e+01,7.0584920915e-01,1.6906735496e+01,3.7163799650e-01,1.4617393881e-03,4.2034006081e-03
5.0000000000e+00,-2.3859690084e-04,4.9610362160e+01,7.1584920680e-01,1.6908067748e+01,3.7160871370e-01,1.4989097846e-03,4.2574465734e-03
5.0000000000e+00,-2.4553291647e-04,4.9627438880e+01,7.2584920440e-01,1.6909415645e+01,3.7157909170e-01,1.5364018040e-03,4.3114899731e-03
5.0000000000e+00,-2.5254824343e-04,4.9644722820e+01,7.3584920194e-01,1.6910779068e+01,3.7154913340e-01,1.5742112667e-03,4.3655306865e-03
5.0000000000e+00,-2.5964222131e-04,4.9662212790e+01,7.4584919942e-01,1.6912157897e+01,3.7151884140e-01,1.6123341861e-03,4.4195685918e-03
5.0000000000e+00,-2.6681418303e-04,4.9679907550e+01,7.5584919685e-01,1.6913552011e+01,3.7148821860e-01,1.6507667757e-03,4.4736035651e-03
5.0000000000e+00,-2.7406345498e-04,4.9697805880e+01,7.6584919422e-01,1.6914961291e+01,3.7145726790e-01,1.6895054557e-03,4.5276354813e-03
5.0000000000e+00,-2.8138935703e-04,4.9715906510e+01,7.7584919154e-01,1.6916385612e+01,3.7142599200e-01,1.7285468610e-03,4.5816642134e-03
5.0000000000e+00,-2.8879120264e-04,4.9734208170e+01,7.8584918880e-01,1.6917824853e+01,3.7139439390e-01,1.7678878478e-03,4.6356896330e-03
5.0000000000e+00,-2.9626829891e-04,4.9752709590e+01,7.9584918600e-01,1.6919278889e+01,3.7136247640e-01,1.8075255015e-03,4.6897116099e-03
5.0000000000e+00,-3.0381994671e-04,4.9771409450e+01,8.0584918315e-01,1.6920747596e+01,3.7133024240e-01,1.8474571435e-03,4.7437300124e-03
5.0000000000e+00,-3.1144544067e-04,4.9790306440e+01,8.1584918025e-01,1.6922230848e+01,3.7129769490e-01,1.8876803385e-03,4.7977447071e-03
5.0000000000e+00,-3.1914406935e-04,4.9809399240e+01,8.2584917728e-01,1.6923728520e+01,3.7126483680e-01,1.9281929028e-03,4.8517555588e-03
5.0000000000e+00,-3.2691511523e-04,4.9828686480e+01,8.3584917426e-01,1.6925240485e+01,3.7123167100e-01,1.9689929109e-03,4.9057624310e-03
5.0000000000e+00,-3.3475785484e-04,4.9848166820e+01,8.4584917119e-01,1.6926766614e+01,3.7119820050e-01,2.0100787037e-03,4.9597651851e-03
5.0000000000e+00,-3.4267155881e-04,4.9867838860e+01,8.5584916806e-01,1.6928306781e+01,3.7116442820e-01,2.0514488959e-03,5.0137636812e-03
5.0000000000e+00,-3.5065549195e-04,4.9887701230e+01,8.6584916487e-01,1.6929860855e+01,3.7113035720e-01,2.0931023844e-03,5.0677577775e-03
5.0000000000e+00,-3.5870891332e-04,4.9907752500e+01,8.7584916163e-01,1.6931428708e+01,3.7109599050e-01,2.1350383558e-03,5.1217473305e-03
5.0000000000e+00,-3.6683107628e-04,4.9927991250e+01,8.8584915833e-01,1.6933010209e+01,3.7106133110e-01,2.1772562949e-03,5.1757321952e-03
5.0000000000e+00,-3.7502122862e-04,4.9948416050e+01,8.9584915497e-01,1.6934605228e+01,3.7102638190e-01,2.2197559930e-03,5.2297122247e-03
5.0000000000e+00,-3.8327861257e-04,4.9969025440e+01,9.0584915157e-01,1.6936213634e+01,3.7099114610e-01,2.2625375568e-03,5.2836872704e-03
5.0000000000e+00,-3.9160246489e-04,4.9989817940e+01,9.1584914810e-01,1.6937835295e+01,3.7095562670e-01,2.3056014168e-03,5.3376571820e-03
5.0000000000e+00,-3.9999201695e-04,5.0010792080e+01,9.2584914458e-01,1.6939470078e+01,3.7091982680e-01,2.3489483364e-03,5.3916218076e-03
5.0000000000e+00,-4.0844649482e-04,5.0031946340e+01,9.3584914101e-01,1.6941117851e+01,3.7088374940e-01,2.3925794217e-03,5.4455809934e-03
5.0000000000e+00,-4.1696511925e-04,5.0053279220e+01,9.4584913738e-01,1.6942778482e+01,3.7084739750e-01,2.4364961309e-03,5.4995345840e-03
5.0000000000e+00,-4.2554710586e-04,5.0074789170e+01,9.5584913370e-01,1.6944451835e+01,3.7081077440e-01,2.4807002840e-03,5.5534824221e-03
5.0000000000e+00,-4.3419166510e-04,5.0096474660e+01,9.6584912996e-01,1.6946137778e+01,3.7077388310e-01,2.5251940738e-03,5.6074243488e-03
5.0000000000e+00,-4.4289800239e-04,5.0118334110e+01,9.7584912617e-01,1.6947836176e+01,3.7073672660e-01,2.5699800759e-03,5.6613602033e-03
5.0000000000e+00,-4.5166531814e-04,5.0140365950e+01,9.8584912233e-01,1.6949546893e+01,3.7069930820e-01,2.6150612605e-03,5.7152898232e-03
5.0000000000e+00,-4.6049280782e-04,5.0162568590e+01,9.9584911843e-01,1.6951269796e+01,3.7066163080e-01,2.6604410036e-03,5.7692130442e-03
5.0000000000e+00,-4.6937966207e-04,5.0184940400e+01,1.0058491145e+00,1.6953004747e+01,3.7062369770e-01,2.7061230989e-03,5.8231297003e-03
5.0000000000e+00,-4.7832506669e-04,5.0207479770e+01,1.0158491105e+00,1.6954751612e+01,3.7058551200e-01,2.7521117710e-03,5.8770396236e-03
5.0000000000e+00,-4.8732820275e-04,5.0230185060e+01,1.0258491064e+00,1.6956510255e+01,3.7054707680e-01,2.7984116879e-03,5.9309426445e-03
5.0000000000e+00,-4.9638824664e-04,5.0253054610e+01,1.0358491023e+00,1.6958280538e+01,3.7050839520e-01,2.8450279752e-03,5.9848385917e-03
5.0000000000e+00,-5.0550437013e-04,5.0276086740e+01,1.0458490982e+00,1.6960062327e+01,3.7046947030e-01,2.8919662299e-03,6.0387272920e-03
5.0000000000e+00,-5.1467574044e-04,5.0299279770e+01,1.0558490940e+00,1.6961855482e+01,3.7043030540e-01,2.9392325361e-03,6.0926085704e-03
5.0000000000e+00,-5.2390152025e-04,5.0322631990e+01,1.0658490897e+00,1.6963659869e+01,3.7039090360e-01,2.9868334800e-03,6.1464822500e-03
5.0000000000e+00,-5.3318086784e-04,5.0346141680e+01,1.0758490854e+00,1.6965475348e+01,3.7035126800e-01,3.0347761668e-03,6.2003481523e-03
5.0000000000e+00,-5.4251293706e-04,5.0369807120e+01,1.0858490810e+00,1.6967301784e+01,3.7031140170e-01,3.0830682380e-03,6.2542060968e-03
5.0000000000e+00,-5.5189687744e-04,5.0393626530e+01,1.0958490766e+00,1.6969139038e+01,3.7027130800e-01,3.1317178892e-03,6.3080559013e-03
5.0000000000e+00,-5.6133183424e-04,5.0417598170e+01,1.1058490722e+00,1.6970986973e+01,3.7023098990e-01,3.1807338892e-03,6.3618973817e-03
5.0000000000e+00,-5.7081694848e-04,5.0441720240e+01,1.1158490677e+00,1.6972845450e+01,3.7019045070e-01,3.2301256001e-03,6.4157303520e-03
