order,eta,Re,rho,omega,T,avg_TKE,max_abs_lift
3.0000000000e+00,-1.2644809653e-05,4.9060416230e+01,2.4584926487e-01,1.6864186706e+01,3.7257564900e-01,1.9717603319e-04,1.7164349573e-03
3.0000000000e+00,-1.5270760621e-05,4.9066737510e+01,2.5584926452e-01,1.6864696380e+01,3.7256438930e-01,2.1324499267e-04,1.7704971408e-03
3.0000000000e+00,-1.8001188438e-05,4.9073312020e+01,2.6584926415e-01,1.6865226362e+01,3.7255268160e-01,2.2990670341e-04,1.8245605465e-03
3.0000000000e+00,-2.0836069048e-05,4.9080139900e+01,2.7584926375e-01,1.6865776650e+01,3.7254052620e-01,2.4715569113e-04,1.8786251092e-03
3.0000000000e+00,-2.3775377485e-05,4.9087221310e+01,2.8584926332e-01,1.6866347243e+01,3.7252792300e-01,2.6498629744e-04,1.9326907636e-03
3.0000000000e+00,-2.6819087870e-05,4.9094556390e+01,2.9584926285e-01,1.6866938139e+01,3.7251487230e-01,2.8339268272e-04,1.9867574441e-03
3.0000000000e+00,-2.9967173417e-05,4.9102145320e+01,3.0584926236e-01,1.6867549336e+01,3.7250137420e-01,3.0236882915e-04,2.0408250847e-03
3.0000000000e+00,-3.3219606428e-05,4.9109988250e+01,3.1584926183e-01,1.6868180834e+01,3.7248742880e-01,3.2190854379e-04,2.0948936192e-03
3.0000000000e+00,-3.6576358298e-05,4.9118085370e+01,3.2584926126e-01,1.6868832631e+01,3.7247303620e-01,3.4200546188e-04,2.1489629812e-03
3.0000000000e+00,-4.0037399515e-05,4.9126436850e+01,3.3584926067e-01,1.6869504726e+01,3.7245819660e-01,3.6265305011e-04,2.2030331039e-03
3.0000000000e+00,-4.3602699664e-05,4.9135042880e+01,3.4584926003e-01,1.6870197116e+01,3.7244291010e-01,3.8384461008e-04,2.2571039203e-03
3.0000000000e+00,-4.7272227424e-05,4.9143903640e+01,3.5584925936e-01,1.6870909801e+01,3.7242717680e-01,4.0557328188e-04,2.3111753631e-03
3.0000000000e+00,-5.1045950572e-05,4.9153019340e+01,3.6584925865e-01,1.6871642778e+01,3.7241099700e-01,4.2783204771e-04,2.3652473646e-03
