t,x,y
0,2.06779102524419,-1.10413137695167e-12
0.000332841454753514,2.06753592699604,0.0324794498022414
0.000665682909507028,2.06677069519659,0.0649508857167452
0.000998524364260542,2.06549551865498,0.0974062959721146
0.00133136581901406,2.06371071199787,0.129837672752032
0.00166420727376757,2.06141671560066,0.162237014028883
0.00199704872852108,2.05861409548044,0.194596325679756
0.0023298901832746,2.05530354313697,0.22690762359918
0.00266273163802811,2.05148587539104,0.259162935528007
0.00299557309278163,2.04716203420052,0.291354302880194
0.00332841454753514,2.04233308642074,0.323473782847913
0.00366125600228865,2.03700022351308,0.355513450500133
0.00399409745704217,2.03116476126878,0.387465400597735
0.00432693891179568,2.02482813951076,0.419321749405156
0.0046597803665492,2.01799192172217,0.451074636776284
0.00499262182130271,2.01065779462385,0.482716228230607
0.00532546327605622,2.00282756778471,0.514238716747408
0.00565830473080974,1.99450317321034,0.545634324555102
0.00599114618556325,1.98568666484138,0.576895305189699
0.00632398764031677,1.97638021800141,0.608013945540323
0.00665682909507028,1.96658612889547,0.638982567615401
0.00698967054982379,1.95630681408708,0.669793530302639
0.00732251200457731,1.9455448098684,0.700439231391924
0.00765535345933082,1.93430277158076,0.73091210958214
0.00798819491408434,1.92258347300322,0.761204646212383
0.00832103636883785,1.91038980572019,0.791309366985629
0.00865387782359137,1.89772477836576,0.821218843948091
0.00898671927834488,1.88459151581956,0.850925697449416
0.00931956073309839,1.87099325848786,0.880422597832089
0.00965240218785191,1.8569333615642,0.909702267111989
0.00998524364260542,1.84241529415088,0.938757480906398
0.0103180850973589,1.82744263833338,0.967581070339832
0.0106509265521124,1.81201908835677,0.996165923684975
0.010983768006866,1.79614844978228,1.02450498799349
0.0113166094616195,1.77983463848947,1.05259127096506
0.011649450916373,1.76308167963282,1.08041784279136
0.0119822923711265,1.74589370671671,1.107977837742
0.01231513382588,1.72827496065123,1.13526445573919
0.0126479752806335,1.71022978863905,1.16227096416044
0.012980816735387,1.69176264301816,1.18899069961335
0.0133136581901406,1.6728780802392,1.21541706946038
0.0136464996448941,1.65358075982422,1.24154355333108
0.0139793410996476,1.63387544314253,1.26736370485137
0.0143121825544011,1.61376699214433,1.29287115334215
0.0146450240091546,1.59326036824428,1.31805960527684
0.0149778654639081,1.57236063118738,1.34292284572527
