exp_1,exp_2,exp_3,L_re,L_im
0,0,0,0.0003882028751697134,0.0
1,0,0,-0.0016742676701077515,-0.0021174005258640834
0,1,0,-0.0016742676701077515,0.0021174005258640834
0,0,1,-0.017870415479585317,0.0
2,0,0,1.758504996025301e-8,-1.8157327021241692e-7
1,1,0,5.632807931010764e-6,0.0
1,0,1,-0.07790612354420914,-0.021443957053733875
0,2,0,1.758504996025301e-8,1.8157327021241692e-7
0,1,1,-0.07790612354420914,0.021443957053733875
0,0,2,-0.34371654588255574,0.0
3,0,0,-1.5930881933643268e-8,-4.63834668652597e-8
2,1,0,-7.701560812547887e-5,2.3464619925465004e-5
2,0,1,-1.0534456272889457e-5,-1.4411426755025423e-5
1,2,0,-7.701560812547887e-5,-2.3464619925465004e-5
1,1,1,0.00021246871428612021,9.36405098554213e-21
1,0,2,4.050174598429518,-0.6181928623274803
0,3,0,-1.5930881933643268e-8,4.63834668652597e-8
0,2,1,-1.0534456272889457e-5,1.4411426755025423e-5
0,1,2,4.050174598429518,0.6181928623274803
0,0,3,5.234618640007966,0.0
4,0,0,3.697484482774057e-12,-2.1122841889769653e-12
3,1,0,-6.642109901153362e-9,-1.2990013841383734e-8
3,0,1,-2.6399070091547904e-6,4.4109674913419444e-7
2,2,0,-2.927156267341119e-7,1.139275583601843e-23
2,1,1,-0.005474337185374565,0.002755615449826561
2,0,2,-0.00020729387649692094,0.0008457835974666483
1,3,0,-6.642109901153362e-9,1.2990013841383734e-8
1,2,1,-0.005474337185374565,-0.002755615449826561
1,1,2,0.04088089813072093,3.658370891467573e-20
1,0,3,-121.96764309178118,11.060988432613453
0,4,0,3.697484482774057e-12,2.1122841889769653e-12
0,3,1,-2.6399070091547904e-6,-4.4109674913419444e-7
0,2,2,-0.00020729387649692094,-0.0008457835974666483
0,1,3,-121.96764309178118,-11.060988432613453
0,0,4,-49.11605829158924,0.0
5,0,0,-6.022054299151063e-13,2.8478647507404416e-12
4,1,0,-3.4941657617406993e-9,6.153938803520524e-10
4,0,1,3.782528445430073e-10,-1.4704813633482e-10
3,2,0,1.8464999058442695e-6,1.8270584955359734e-6
3,1,1,-2.216175216642716e-6,-1.12170878470426e-6
3,0,2,0.0001042923215440843,7.099991603281165e-5
2,3,0,1.8464999058442695e-6,-1.8270584955359734e-6
2,2,1,-5.531495163475179e-5,-7.728983076183664e-22
2,1,2,-0.6774710032001281,0.17413348153231345
2,0,3,0.05573969734801254,-0.034567853461384246
1,4,0,-3.4941657617406993e-9,-6.153938803520524e-10
1,3,1,-2.216175216642716e-6,1.12170878470426e-6
1,2,2,-0.6774710032001281,-0.17413348153231345
1,1,3,1.8913869455458325,3.07856191208058e-17
1,0,4,4430.504194531242,1962.9843074582304
0,5,0,-6.022054299151063e-13,-2.8478647507404416e-12
0,4,1,3.782528445430073e-10,1.4704813633482e-10
0,3,2,0.0001042923215440843,-7.099991603281165e-5
0,2,3,0.05573969734801254,0.034567853461384246
0,1,4,4430.504194531242,-1962.9843074582304
0,0,5,-8493.614232830078,0.0
6,0,0,3.4502671209255894e-13,3.621726999903483e-13
5,1,0,1.2429033956748303e-12,-2.8896556361556485e-12
