exp_1,exp_2,R1_re,R1_im,R2_re,R2_im
1,0,0.0,0.6187058302468104,0.0,0.0
0,1,0.0,0.0,-0.0,-0.6187058302468104
2,1,-0.0,-1.1509086573600754e-6,0.0,0.0
1,2,0.0,-0.0,-0.0,1.1509086573600754e-6
3,2,0.0,1.2858877659189555e-9,0.0,0.0
2,3,0.0,-0.0,0.0,-1.2858877659189555e-9
4,3,-0.0,-5.887816618422375e-14,0.0,0.0
3,4,0.0,-0.0,-0.0,5.887816618422375e-14
