exp_1,exp_2,exp_3,R1_re,R1_im,R2_re,R2_im,R3_re,R3_im
1,0,0,0.004028440003468248,16.859169021043915,0.0,0.0,0.0,0.0
0,1,0,0.0,0.0,0.004028440003468248,-16.859169021043915,0.0,0.0
1,0,1,-212.0079322804799,-59.107701234198544,0.0,0.0,0.0,0.0
0,1,1,0.0,-0.0,-212.0079322804799,59.107701234198544,0.0,0.0
2,1,0,-0.11101108533687333,0.07065076413527639,0.0,0.0,0.0,0.0
1,2,0,0.0,-0.0,-0.11101108533687333,-0.07065076413527639,0.0,0.0
1,0,2,2981.0858629977724,95.2350170093742,0.0,0.0,0.0,0.0
0,1,2,0.0,-0.0,2981.0858629977724,-95.2350170093742,0.0,0.0
2,1,1,-4.651777704362699,8.758739657107435,0.0,0.0,0.0,0.0
1,2,1,0.0,-0.0,-4.651777704362699,-8.758739657107435,0.0,0.0
1,0,3,-51641.481665841,46757.85822905013,0.0,0.0,0.0,0.0
0,1,3,0.0,-0.0,-51641.481665841,-46757.85822905013,0.0,0.0
3,2,0,0.005924752989651045,-0.0013952393144207236,0.0,0.0,0.0,0.0
2,3,0,0.0,-0.0,0.005924752989651045,0.0013952393144207236,0.0,0.0
2,1,2,-730.9040100191064,823.8407742843723,0.0,0.0,0.0,0.0
1,2,2,0.0,-0.0,-730.9040100191064,-823.8407742843723,0.0,0.0
1,0,4,11014.452814434868,-2.0687218962698723e6,0.0,0.0,0.0,0.0
0,1,4,0.0,-0.0,11014.452814434868,2.0687218962698723e6,0.0,0.0
