exp_1,exp_2,exp_3,R1_re,R1_im,R2_re,R2_im,R3_re,R3_im
1,0,0,0.05147281754581767,17.037257667405754,0.0,0.0,0.0,0.0
0,1,0,0.0,0.0,0.05147281754581767,-17.037257667405754,0.0,0.0
0,0,1,-78.61979029074271,-22.96547311222927,-78.61979029074271,22.96547311222927,0.0,0.0
2,0,0,-0.0023180385955212323,0.0017908187189172185,-0.000193159278982587,-8.176786824958188e-5,0.0,0.0
1,1,0,-0.004621416227007657,-0.0004181044667039814,-0.004621416227007657,0.0004181044667039814,0.0,0.0
1,0,1,-331.3826042563929,-584.8262480046625,-7.606496075367098,13.059654521256741,0.0,0.0
0,2,0,-0.000193159278982587,8.176786824958188e-5,-0.0023180385955212323,-0.0017908187189172185,0.0,0.0
0,1,1,-7.606496075367098,-13.059654521256741,-331.3826042563929,584.8262480046625,0.0,0.0
0,0,2,6656.606914470866,2550.3131683097613,6656.606914470867,-2550.313168309761,0.0,0.0
3,0,0,0.007493356827253941,-0.015503029301052039,0.00014208735776789132,-0.00010984751939302705,0.0,0.0
2,1,0,-0.16134130500766697,0.06052602701397728,0.014559579667742866,-0.0005260753608780445,0.0,0.0
2,0,1,0.4325505881772067,1.3975804715213878,-0.021525671533597236,-0.10502373285696093,0.0,0.0
1,2,0,0.014559579667742866,0.0005260753608780445,-0.16134130500766697,-0.06052602701397728,0.0,0.0
1,1,1,-0.31476173664077156,-2.466026764479918,-0.31476173664077156,2.466026764479918,0.0,0.0
1,0,2,13825.874189186328,21819.6190768261,-2585.2767384488197,-536.1622847054193,0.0,0.0
0,3,0,0.00014208735776789132,0.00010984751939302705,0.007493356827253941,0.015503029301052039,0.0,0.0
0,2,1,-0.021525671533597236,0.10502373285696093,0.4325505881772067,-1.3975804715213878,0.0,0.0
0,1,2,-2585.2767384488197,536.1622847054193,13825.874189186328,-21819.6190768261,0.0,0.0
0,0,3,-381947.8194360739,-108441.03652101442,-381947.8194360739,108441.03652101442,0.0,0.0
4,0,0,-5.421622348199758e-5,-1.0880643259166068e-5,-1.0668929416901006e-6,-2.7412532304406234e-7,0.0,0.0
3,1,0,0.0002832322424440967,-3.810154139493489e-5,-2.187421712174357e-5,-2.7153048995475624e-5,0.0,0.0
3,0,1,3.9188770328203275,0.9785472910284478,0.006832048232025978,0.004259373630414122,0.0,0.0
2,2,0,-0.00018304225476183905,0.0004520052057500103,-0.0001830422547618391,-0.0004520052057500103,0.0,0.0
2,1,1,-27.956280368187244,-57.87968453726986,-1.4996317893206088,3.472866335401482,0.0,0.0
2,0,2,-382.1210636465685,202.92559179449077,26.246136395647994,6.4373140877388595,0.0,0.0
1,3,0,-2.187421712174357e-5,2.7153048995475624e-5,0.0002832322424440967,3.810154139493489e-5,0.0,0.0
1,2,1,-1.4996317893206088,-3.472866335401482,-27.956280368187244,57.87968453726986,0.0,0.0
1,1,2,493.41651970262234,235.6482429608473,493.41651970262234,-235.6482429608473,0.0,0.0
1,0,3,-509911.1828482487,-654925.246670881,296195.2671146844,-288981.99093870237,0.0,0.0
0,4,0,-1.0668929416901006e-6,2.7412532304406234e-7,-5.421622348199758e-5,1.0880643259166068e-5,0.0,0.0
0,3,1,0.006832048232025978,-0.004259373630414122,3.9188770328203275,-0.9785472910284478,0.0,0.0
0,2,2,26.246136395647994,-6.4373140877388595,-382.1210636465685,-202.92559179449077,0.0,0.0
0,1,3,296195.2671146844,288981.99093870237,-509911.1828482487,654925.246670881,0.0,0.0
0,0,4,1.9884596383112352e7,-453473.06522019184,1.988459638311235e7,453473.06522019184,0.0,0.0
5,0,0,6.545207146873463e-5,0.00010801976196923098,2.2045696251851442e-7,8.284963248975454e-8,0.0,0.0
4,1,0,0.0025841280288030977,0.0003751056904720528,2.919518499964378e-5,1.825175691318618e-5,0.0,0.0
4,0,1,-0.012947259022542595,-0.0276591069157123,-0.0005552549107447381,-0.0006023594268236801,0.0,0.0
3,2,0,0.004423087978124778,-0.04303407320631467,0.0016132296933221157,0.0024232566265328204,0.0,0.0
3,1,1,-0.5141991866838811,0.16530750783335135,0.015650914787947695,-0.02371884365576783,0.0,0.0
3,0,2,-135.56545130279628,313.0760866821877,-3.361140549844026,-2.5104279236452616,0.0,0.0
2,3,0,0.0016132296933221157,-0.0024232566265328204,0.004423087978124778,0.04303407320631467,0.0,0.0
2,2,1,0.5721976239317852,0.3032027047274981,0.5721976239317852,-0.30320270472749805,0.0,0.0
2,1,2,-20265.405629633344,-87628.36675990764,-419.7058228760043,-583.5926943404778,0.0,0.0
2,0,3,-362937.6031614368,188625.70104564456,-3393.3393475955045,3420.4313795627445,0.0,0.0
1,4,0,2.919518499964378e-5,-1.825175691318618e-5,0.0025841280288030977,-0.0003751056904720528,0.0,0.0
1,3,1,0.015650914787947695,0.02371884365576783,-0.5141991866838811,-0.16530750783335135,0.0,0.0
1,2,2,-419.7058228760043,583.5926943404778,-20265.405629633344,87628.36675990764,0.0,0.0
1,1,3,643224.1319127274,443599.9875316843,643224.1319127274,-443599.9875316843,0.0,0.0
1,0,4,9.777240447107408e6,5.4904243033564985e6,6.482883636756705e6,4.9826187913374476e7,0.0,0.0
0,5,0,2.2045696251851442e-7,-8.284963248975454e-8,6.545207146873463e-5,-0.00010801976196923098,0.0,0.0
0,4,1,-0.0005552549107447381,0.0006023594268236801,-0.012947259022542595,0.0276591069157123,0.0,0.0
0,3,2,-3.361140549844026,2.5104279236452616,-135.56545130279628,-313.0760866821877,0.0,0.0
0,2,3,-3393.3393475955045,-3420.4313795627445,-362937.6031614368,-188625.70104564456,0.0,0.0
0,1,4,6.482883636756705e6,-4.9826187913374476e7,9.777240447107408e6,-5.4904243033564985e6,0.0,0.0
0,0,5,-1.3121010373728778e9,4.7595121182995814e8,-1.3121010373728786e9,-4.759512118299583e8,0.0,0.0
6,0,0,-1.5654477940724923e-7,-3.4034262253866666e-7,1.0887522744747782e-8,9.364586371967624e-9,0.0,0.0
5,1,0,-3.814546140489291e-6,-4.294997705755738e-6,3.133938135616648e-7,-1.7299957898178097e-7,0.0,0.0
5,0,1,-0.021064099348199042,0.03219293590408601,-3.1444330382150646e-5,2.5191750799072544e-5,0.0,0.0
4,2,0,-0.0001503363814986648,4.9652318317752485e-5,-2.8869450360498684e-6,-5.322136830415362e-6,0.0,0.0
4,1,1,0.4773145237269669,0.5246014242668695,-0.003553610444792752,0.004597046193115348,0.0,0.0
