exp_1,exp_2,exp_3,L_re,L_im
0,0,0,0.0003948245940663007,0.0
1,0,0,0.0027082694019627557,-0.0006938752274007311
0,1,0,0.0027082694019627557,0.0006938752274007311
0,0,1,-0.08747880974068234,1.317517366121941e-19
2,0,0,-4.3666040295016865e-7,5.980950386747349e-7
1,1,0,8.338492838696998e-6,-6.4380548262040985e-24
1,0,1,0.011318184100145826,-0.07617272417114568
0,2,0,-4.3666040295016865e-7,-5.980950386747349e-7
0,1,1,0.011318184100145826,0.07617272417114568
0,0,2,3.226001812954493,-1.6263307452134682e-16
3,0,0,1.0987350954495412e-6,-9.91232944557426e-7
2,1,0,2.1894554633090012e-5,-0.00012079090493374243
2,0,1,0.0003901433111777355,0.00037225998045411677
1,2,0,2.1894554633090012e-5,0.00012079090493374243
1,1,1,0.0012279993414641907,2.7384611660111555e-20
1,0,2,-1.2600678498628173,10.200202078836792
0,3,0,1.0987350954495412e-6,9.91232944557426e-7
0,2,1,0.0003901433111777355,-0.00037225998045411677
0,1,2,-1.2600678498628173,-10.200202078836792
0,0,3,-112.86983599102223,-8.524049266338134e-15
4,0,0,1.5324962766502988e-9,3.289621491164148e-9
3,1,0,3.9522539550173804e-8,3.184550874276009e-9
3,0,1,-8.903148261446832e-5,-0.0002925018844275763
2,2,0,1.0521122471538742e-6,1.0340309040658374e-23
2,1,1,-0.0042522920401342115,-0.017354646761876966
2,0,2,0.06203387650981973,-0.0062832430756429684
1,3,0,3.9522539550173804e-8,-3.184550874276009e-9
1,2,1,-0.0042522920401342115,0.017354646761876966
1,1,2,3.218283456177776,5.2954848786912027e-17
1,0,3,112.75879523116379,-492.61472431323386
0,4,0,1.5324962766502988e-9,-3.289621491164148e-9
0,3,1,-8.903148261446832e-5,0.0002925018844275763
0,2,2,0.06203387650981973,0.0062832430756429684
0,1,3,112.75879523116379,492.61472431323386
0,0,4,2562.4290684999505,6.380570831872618e-13
5,0,0,-4.805552539993279e-9,-2.732507091557171e-9
4,1,0,-1.8369065256703939e-7,-3.207753572957276e-7
4,0,1,2.7500985989043673e-6,1.1382803760679792e-7
3,2,0,-7.802142811894181e-6,1.6918479244386115e-6
3,1,1,4.575777414769493e-6,-5.216329334721857e-5
3,0,2,-0.00829646824495758,0.014148379673900724
2,3,0,-7.802142811894181e-6,-1.6918479244386115e-6
2,2,1,0.003937001082660478,-1.5161955200350268e-19
2,1,2,-5.53336516608731,-2.083237209621038
2,0,3,12.482820953032206,-24.368493381021835
1,4,0,-1.8369065256703939e-7,3.207753572957276e-7
1,3,1,4.575777414769493e-6,5.216329334721857e-5
1,2,2,-5.53336516608731,2.083237209621038
1,1,3,3249.1888887374334,7.251320810278844e-14
1,0,4,-22926.605903523538,30107.395520155667
0,5,0,-4.805552539993279e-9,2.732507091557171e-9
0,4,1,2.7500985989043673e-6,-1.1382803760679792e-7
0,3,2,-0.00829646824495758,-0.014148379673900724
0,2,3,12.482820953032206,24.368493381021835
0,1,4,-22926.605903523538,-30107.395520155667
0,0,5,-27836.352197159547,1.9052494047717562e-10
6,0,0,2.5298687823810398e-11,7.2497902389013115e-12
5,1,0,9.813291772819304e-10,-3.49879137570624e-11
5,0,1,-1.619722022280954e-6,9.238577790643092e-7
4,2,0,-8.32197867490615e-9,-2.2171952077447107e-8
4,1,1,-9.87641839029135e-5,-4.1072643324288286e-5
4,0,2,0.0003577075465911947,-0.0004864696498783442
3,3,0,9.856318104678302e-7,1.0298807957694947e-23
3,2,1,-0.009844203112174843,0.0008212784358259543
3,1,2,0.016766975781964687,-0.0832896087279604
3,0,3,4.936614792742231,-1.526895909907835
2,4,0,-8.32197867490615e-9,2.2171952077447107e-8
2,3,1,-0.009844203112174843,-0.0008212784358259543
2,2,2,8.615513862998071,4.527374029012373e-16
2,1,3,-5749.13975107164,-163.4577011443448
2,0,4,6001.795259366627,-24369.387336604395
1,5,0,9.813291772819304e-10,3.49879137570624e-11
1,4,1,-9.87641839029135e-5,4.1072643324288286e-5
1,3,2,0.016766975781964687,0.0832896087279604
1,2,3,-5749.13975107164,163.4577011443448
1,1,4,2.9469198960189857e6,3.3033097512023065e-12
1,0,5,-1.852563190971531e6,1.3040837903421134e7
0,6,0,2.5298687823810398e-11,-7.2497902389013115e-12
0,5,1,-1.619722022280954e-6,-9.238577790643092e-7
0,4,2,0.0003577075465911947,0.0004864696498783442
0,3,3,4.936614792742231,1.526895909907835
0,2,4,6001.795259366627,24369.387336604395
0,1,5,-1.852563190971531e6,-1.3040837903421134e7
0,0,6,7.491008743353039e7,5.3099242319796094e-8
7,0,0,-2.158649876765159e-11,1.4312076427981244e-11
