x1,x2,eta,T,Re,flag,E_M_norm,X_max,rel_err,n_orbits,converged,F_L_max,F_L_min,F_L_amp
-7.914453554009438e-13,-0.8102957397160904,-0.0005059398266146539,0.3674656019557022,50.549989,,1.043364553121831e-05,1.044588621099822e-02,9.988281817805927e-04,204,true,1.720956931362681e-03,-1.628405988266515e-03,3.349362919629196e-03
-8.19923840729809e-13,-0.8121720031693945,-0.0005448741777973281,0.3681984781136791,50.649674,max,1.125104057927977e-05,1.127118494765063e-02,9.982127550506518e-04,204,true,1.829893780373455e-03,-1.730204710865618e-03,3.560098491239073e-03
-8.283526230588307e-13,-0.5997661025738598,-0.001363284724457482,0.3915170851692762,52.84001,,2.938554763134918e-05,2.943897978025437e-02,9.981849863920547e-04,196,true,3.059394676611441e-03,-2.817677138896415e-03,5.877071815507856e-03
-6.327557451080082e-13,-0.3806383304946438,-0.002156664547520727,0.4187990570674456,55.152108,,4.886448458704967e-05,4.894520130749633e-02,9.983508757081300e-04,191,true,3.356477451999124e-03,-3.019366708419704e-03,6.375844160418828e-03
-5.228241144410172e-13,-0.2956727385218494,-0.002532241433668778,0.4333244008894085,56.318685,,5.902304843944945e-05,5.911002652257055e-02,9.985285392641826e-04,192,true,3.090235093542482e-03,-2.721789482918431e-03,5.812024576460913e-03
-3.440983159792646e-13,-0.1794127870875966,-0.003228842904199919,0.4629378042867229,58.618382,,8.062155855938944e-05,8.068619907175158e-02,9.991988653189048e-04,212,true,4.221597112834342e-03,-3.600733073870660e-03,7.822330186705001e-03
-2.817757756653977e-13,-0.1436487193295602,-0.003551322048550876,0.4781210700585175,59.747808,min,NaN,NaN,NaN,1,false,NaN,NaN,NaN
7.329062613792056e-18,0.0001960953247720306,-3.57100374341976e-5,0.3686655532985942,49.376309,,1.019453467365374e-06,1.227230894924003e-03,8.306941029450729e-04,34,true,3.020176662412563e-06,2.226184100651403e-06,7.939925617611607e-07
8.896934091185201e-13,0.7333110686200838,-0.0009391799257077684,0.3784320915333776,51.681836,,1.979551815171397e-05,1.983264777662492e-02,9.981278533593128e-04,201,true,2.506485878646847e-03,-2.337382977614986e-03,4.843868856261833e-03
7.394851538909112e-13,0.4828770117274105,-0.001762635596394638,0.4047077326431227,53.97906,,3.895425332239122e-05,3.895563729791370e-02,9.999644730360360e-04,192,true,2.370074878766546e-03,-2.073233193908358e-03,4.443308072674904e-03
4.290274968529047e-13,0.2324523758084075,-0.002868226108215099,0.4471498939903567,57.404913,,6.886934295600032e-05,6.887651093461793e-02,9.998959299981904e-04,196,true,1.039819646653470e-03,-6.155729099980049e-04,1.655392556651475e-03
