exp_1,exp_2,exp_3,L_re,L_im
0,0,0,0.0003882028751697134,0.0
1,0,0,-0.0016742676701077515,0.0021174005258640834
0,1,0,-0.0016742676701077515,-0.0021174005258640834
0,0,1,-0.01687717277281453,0.0
2,0,0,1.758504996025301e-8,1.8157327021241692e-7
1,1,0,5.632807931010764e-6,0.0
1,0,1,-0.07762307610595942,0.021781663128470213
0,2,0,1.758504996025301e-8,-1.8157327021241692e-7
0,1,1,-0.07762307610595942,-0.021781663128470213
0,0,2,-0.3576678390801191,0.0
3,0,0,-1.5930881933643268e-8,4.63834668652597e-8
2,1,0,-7.701560812547887e-5,-2.3464619925465004e-5
2,0,1,-1.0665528244008303e-5,1.4465877551598057e-5
1,2,0,-7.701560812547887e-5,2.3464619925465004e-5
1,1,1,0.00021664260812376268,1.237516685526607e-20
1,0,2,4.020941669886985,0.6025205256468514
0,3,0,-1.5930881933643268e-8,-4.63834668652597e-8
0,2,1,-1.0665528244008303e-5,-1.4465877551598057e-5
0,1,2,4.020941669886985,-0.6025205256468514
0,0,3,2.855198145944428,0.0
