sample,radii_r1,radii_master_r1,force_errors_r1,state_errors_r1,radii_r2,radii_master_r2,force_errors_r2,state_errors_r2,radii_r3,radii_master_r3,force_errors_r3,state_errors_r3,radii_r4,radii_master_r4,force_errors_r4,state_errors_r4,radii_r5,radii_master_r5,force_errors_r5,state_errors_r5,radii_r6,radii_master_r6,force_errors_r6,state_errors_r6,radii_r7,radii_master_r7,force_errors_r7,state_errors_r7,radii_r8,radii_master_r8,force_errors_r8,state_errors_r8,radii_r9,radii_master_r9,force_errors_r9,state_errors_r9,radii_r10,radii_master_r10,force_errors_r10,state_errors_r10,radii_r11,radii_master_r11,force_errors_r11,state_errors_r11
1,0.757448464294081,0.7574482803292603,8.348858013657613e-5,5.505778490610877,1.6552938995120023,1.6552938461927298,0.04008885696300593,2549.2767642746,1.3943544951298639,1.3943544598908728,0.0028378210650140934,145.6295927096149,0.9083016729788463,0.9083016491818641,2.1924292560248128e-5,0.9094381310597196,1.2893769681543148,1.28937696400599,0.00023200627785954756,9.207634114785673,0.6326235009824355,0.6326235009824355,8.155284648366353e-8,0.0017185151252225783,0.5810863512413614,0.5810863422214805,2.7755756332088774e-7,0.0015598262264331453,1.5728536461249203,1.5728536329289644,0.001304318955328031,17.922866525657383,2.465065724128446,2.465065705372768,0.9325684994061518,32358.752495442408,1.4068631671543166,1.4068631093103345,0.00150026813845831,9.032883981633775,0.895933580258199,0.8959334397353251,0.00012241102328396043,2.284994792803957
2,0.4650423409899736,0.46504204135295857,4.281162205405481e-6,0.2699474677505955,1.2366608441714664,1.236660772802612,0.0019076380584220705,115.16985484464473,0.7972242878018475,0.7972242261684432,2.0409121629657186e-5,0.8930186337299219,1.1631664954576573,1.1631664768749017,0.00020427053360957658,9.187889329460912,0.6537905269065949,0.6537905187254508,4.835172093803217e-7,0.01269538246347501,1.2280558629983997,1.2280558629983997,6.236891799454378e-5,1.6277216494191653,0.48754162435927617,0.48754161360874854,2.138368393332321e-7,0.0004232677822224915,1.0761796446405067,1.0761796253544076,4.9545557715992774e-5,0.31422630540056046,0.686587349161098,0.6865872818222775,4.3503244427254024e-6,0.08564604932639508,0.547218107887797,0.5472179591745583,2.8517196098478415e-6,0.06569177209099698,0.5351009632821129,0.5351007280009453,5.9708933119314235e-6,0.15007541950657696
3,1.17109531396404,1.1710951949781134,0.0024905142864659114,180.0780608848881,0.21128135657574063,0.2112809388429422,3.805861276663816e-7,0.0013313013836580296,0.4537568496858882,0.4537567413995872,7.273470320361277e-7,0.01701739764079216,0.48078439679032847,0.4807843518328805,4.5350762007425905e-7,0.0056132979023063335,1.5384484326403849,1.5384484291636649,0.0015708472507539866,67.63266355959396,1.025392729589074,1.025392729589074,1.0081969998012873e-5,0.2381650645457411,0.6546431087904124,0.65464310078402,4.022311531436566e-7,0.0036877138766298902,1.4469576440817449,1.4469576297376432,0.0006057857085275914,4.482617451671222,0.6581557693108774,0.6581556990630961,3.308713579221094e-6,0.06626994942387657,0.3646822941275053,0.3646820709782264,6.883825427235739e-7,0.007683055805934448,0.6134229595931779,0.6134227543527793,1.271346196913978e-5,0.3067465195357797
4,0.6390365666939348,0.6390363486408764,2.7351814957546657e-5,1.773126195538933,0.7707930486245914,0.7707929341203521,4.030962988221041e-5,2.164490944060231,0.5003575031932158,0.5003574049921308,1.0027130768368628e-6,0.03157245712863728,0.8402967186826305,0.8402966929597657,1.1333943111040767e-5,0.46047311863993157,1.3222690370175194,1.322269032972386,0.0003031069497050652,12.114446320601376,1.034994364166283,1.034994364166283,1.1106517901477473e-5,0.26244971353452295,0.6470653633917758,0.6470653552916209,3.8239773773727466e-7,0.003332581082353815,1.1661760999979105,1.1661760822001632,9.578240148000133e-5,0.35276529567869597,0.25668669771140906,0.25668651759301325,3.4016382661510395e-7,0.0003951712947622923,0.14745288686840022,0.14745233497199392,2.565443741985403e-7,0.00011993144239015774,0.8652494049785254,0.8652492594723146,9.840493688911765e-5,1.9115408650295587
5,2.0901681776019063,2.090168110935569,1.326968146005049,101042.63200297467,1.692074996510109,1.6920749443498522,0.05173296686924874,3291.221874749476,0.31720736830551904,0.31720721340477637,4.2394949330334187e-7,0.0020652250517558704,0.5188631926753492,0.5188631510172789,5.232868180630408e-7,0.009873944195251588,0.36559872327883386,0.3655987086487101,1.6316810821701473e-7,0.0001246289343251325,0.07174375788124064,0.07174375788124064,9.241878023704274e-15,1.7530253387529236e-12,0.3603156587905641,0.36031564424406964,1.5740480668917714e-7,5.8807687952915075e-5,1.5173214242368644,1.5173214105579518,0.0009346124947920726,10.102090128203326,0.6386001304689652,0.6386000580700094,2.7346762745756342e-6,0.05537298589889083,0.7037621514341678,0.7037620358005371,1.2666129454983687e-5,0.2691152632998625,0.858634726623073,0.8586345799959235,9.38625153371413e-5,1.8369919193576123
6,0.43314411170098305,0.4331437899976469,2.969481611729916e-6,0.18299564515961764,0.4149166541270289,0.41491644141180806,1.0636013269555165e-6,0.041121820367378215,1.1954646179277493,1.1954645768260346,0.0006219267746288252,30.41857762447398,0.43301295600635353,0.43301290608904863,3.8866029245818917e-7,0.0027403359076272863,0.6100830590560867,0.6100830502888306,3.410758255715699e-7,0.006871337556549606,0.21519293818650523,0.21519293818650523,1.7184046480843467e-12,3.470173368291742e-8,0.4759489848140713,0.4759489738016942,2.0855071336472955e-7,0.0003512794760283482,1.4046210798776673,1.4046210651012214,0.0004666782077019631,2.574555355472978,1.636658975376287,1.6366589471272863,0.003532040707084664,73.17372619432076,1.1623329119954207,1.1623328419822878,0.0003603163935407299,3.10453312170368,1.0234854470629409,1.0234853240527313,0.00028277217905086933,4.278820073664249
7,0.21274013935000657,0.21273948435340387,4.912114374714711e-7,0.006412153852632898,0.8416891112110554,0.8416890063515896,7.65835214611168e-5,4.18807636009832,1.2822225826431504,1.282222544322467,0.0012182213544293414,60.935936840549836,1.8840163046052638,1.8840162931325188,0.042252317076211805,2171.716908839498,0.7868731210277138,0.7868731142302335,2.0647978760593135e-6,0.06847922995254452,0.6072067642309433,0.6072067642309433,5.4113320896609606e-8,0.0011371188231332988,0.5857937342527764,0.5857937253053784,2.7881310024133945e-7,0.0016422711304320324,1.0864262712700767,1.0864262521658745,5.3454668590651925e-5,0.32440270384487185,0.4623938577775238,0.4623937577892038,6.926514995404147e-7,0.008336989895417035,1.3258441835947066,1.3258441222160249,0.0009381376558847455,1.0034265572350298,1.4227059026431101,1.4227058141503615,0.0027864788780296744,27.414683483856372
8,0.5795762533332147,0.5795760129094878,1.5025979018586963e-5,0.9651308393811898,1.157191208317798,1.1571911320477164,0.0010320651422807932,61.324976366727576,1.035519985963979,1.035519938513764,0.00017062493330693792,7.97979977399437,1.6003274740356475,1.6003274605291375,0.00577198770470014,288.7584586336778,0.9337029161405025,0.9337029104119625,9.880019147748188e-6,0.34578144627801927,0.7622927890316573,0.7622927890316573,5.231470680047058e-7,0.011320894009760326,0.2211546888534735,0.22115466515363724,9.846970431926699e-8,2.2703845606232425e-5,0.29134577094291536,0.291345699703475,2.5447578683120937e-7,0.00010947400711688437,0.779775787459687,0.7797757281683081,1.0305958445295196e-5,0.18337773223181253,0.7485991866429609,0.7485990779351591,1.8699657154646853e-5,0.3819795775488926,0.6064452158022323,0.6064450082003419,1.1918346894985344e-5,0.2886986713077356
9,0.46597004242870843,0.46596974338824215,4.33225353806243e-6,0.27281318426286155,0.7152679113980044,0.7152677880049774,2.3796629744156955e-5,1.2638358778207877,0.2080297280294263,0.20802949183398783,2.772579961576476e-7,0.0002639832284314707,0.5983006983454905,0.5983006622184407,9.138899774471896e-7,0.028956007467194768,0.532843090554454,0.5328430805163121,2.465229384466302e-7,0.00208727840156245,0.9835154422568771,0.9835154422568771,6.609680419067815e-6,0.1542669532279303,0.7628034520597362,0.7628034451885958,1.1052032603169506e-6,0.011315078980282296,0.24690612996107245,0.24690604589952778,2.163846561866788e-7,4.486481764917612e-5,2.1675152648309086,2.1675152435005027,0.13778158630277462,4761.212134118812,0.37176466167089495,0.3717644427727628,7.095834850540071e-7,0.008455397205368139,0.5041951242479294,0.5041948745446364,4.368631498353099e-6,0.11047070172720513
10,1.2529497836376524,1.2529496724250069,0.004649336067682875,340.0088928853894,1.8037199339025747,1.8037198849708835,0.10977846777541765,7020.731012187144,0.38364539157694894,0.38364526350124617,5.368412039227039e-7,0.0059367445188815175,0.7318049101355112,0.7318048805991707,3.695027671653706e-6,0.14375705423090093,0.8339207569266676,0.8339207505126834,3.4881873987661686e-6,0.11772241237686389,0.8442684373945527,0.8442684373945527,1.4520295483584473e-6,0.032051507639495776,0.16219739923037643,0.16219736691586223,7.17620220959127e-8,1.4341151212899544e-5,0.383599400343428,0.3835993462366995,3.3424455138136044e-7,0.0006016125384228399,1.0805444349288662,1.0805443921411941,0.00010887480532535163,1.04332971132668,0.6351520578301247,0.6351519297055706,6.705560625941337e-6,0.15096964713603192,0.2543571343213115,0.25435663935082625,5.663403432676006e-7,0.004330756156143467
