exp_1,exp_2,R1_re,R1_im,R2_re,R2_im
1,0,-0.0053741215354532355,0.5373851813555296,0.0,0.0
0,1,0.0,0.0,-0.0053741215354532355,-0.5373851813555296
2,1,-1.3484770979933742e-7,6.871578637543904e-5,0.0,0.0
1,2,0.0,-0.0,-1.3484770979933742e-7,-6.871578637543904e-5
3,2,-2.3478441101770325e-10,3.6259050329336328e-9,0.0,0.0
2,3,0.0,-0.0,-2.3478441101770325e-10,-3.6259050329336328e-9
4,3,1.991933455475675e-14,-5.404101456535728e-13,0.0,0.0
3,4,0.0,-0.0,1.991933455475675e-14,5.404101456535728e-13
