exp_1,exp_2,R1_re,R1_im,R2_re,R2_im
1,0,-0.0,0.6789353386124263,0.0,0.0
0,1,0.0,0.0,-0.0,-0.6789353386124263
2,1,-0.0,-1.665072965708478e-5,0.0,0.0
1,2,0.0,-0.0,-0.0,1.665072965708478e-5
3,2,-0.0,3.1553026979489354e-9,0.0,0.0
2,3,0.0,-0.0,-0.0,-3.1553026979489354e-9
4,3,-0.0,3.0239246772107683e-13,0.0,0.0
3,4,0.0,-0.0,-0.0,-3.0239246772107683e-13
