theta1,theta2,omega0_exact,omega0_param,delta_omega0_rel,shift_rms_err,shift_max_err
-0.100000,0.000000,0.66338386,0.65640020,1.0527e-02,1.0402e-02,2.6500e-02
0.000000,0.000000,0.53739267,0.53739267,7.6440e-15,3.6397e-15,1.1616e-14
0.100000,0.000000,0.44416070,0.44017824,8.9663e-03,6.6596e-03,1.7859e-02
-0.100000,3.000000,0.70477226,0.69571134,1.2857e-02,6.7465e-02,2.1576e-01
0.000000,3.000000,0.57092932,0.57085591,1.2857e-04,5.4262e-02,1.9131e-01
0.100000,3.000000,0.47188405,0.46909573,5.9089e-03,3.7023e-02,1.2688e-01
-0.100000,6.000000,0.81504152,0.79882624,1.9895e-02,1.0195e-01,1.9685e-01
0.000000,6.000000,0.66028655,0.65642765,5.8443e-03,1.0073e-01,1.9727e-01
0.100000,6.000000,0.54575650,0.54103095,8.6587e-03,9.6199e-02,1.9523e-01
