theta1,theta2,w_mid,omega0_exact,omega0_param,rel_err
-0.167000,0.720000,0.719805,0.77720066,0.75375533,3.016637e-02
-0.150320,0.720000,0.719805,0.74700210,0.72879850,2.436887e-02
-0.133640,0.720000,0.719805,0.71852984,0.70473291,1.920161e-02
-0.116960,0.720000,0.719805,0.69165479,0.68151425,1.466128e-02
-0.100280,0.720000,0.719805,0.66625970,0.65910119,1.074432e-02
-0.083600,0.720000,0.719805,0.64223790,0.63745541,7.446600e-03
-0.066920,0.720000,0.719805,0.61949212,0.61654154,4.762910e-03
-0.050240,0.720000,0.719805,0.59793360,0.59632722,2.686549e-03
-0.033560,0.720000,0.719805,0.57748112,0.57678307,1.208777e-03
-0.016880,0.720000,0.719805,0.55806030,0.55788270,3.182571e-04
-0.000200,0.720000,0.719805,0.53960294,0.53960270,4.402244e-07
0.016480,0.720000,0.719805,0.52204633,0.52192265,2.369087e-04
0.033160,0.720000,0.719805,0.50533281,0.50482511,1.004674e-03
0.049840,0.720000,0.719805,0.48940926,0.48829565,2.275422e-03
0.066520,0.720000,0.719805,0.47422667,0.47232279,4.014715e-03
0.083200,0.720000,0.719805,0.45973978,0.45689806,6.181155e-03
0.099880,0.720000,0.719805,0.44590673,0.44201597,8.725489e-03
0.116560,0.720000,0.719805,0.43268875,0.42767403,1.158968e-02
0.133240,0.720000,0.719805,0.42004992,0.41387270,1.470590e-02
0.149920,0.720000,0.719805,0.40795689,0.40061547,1.799556e-02
0.166600,0.720000,0.719805,0.39637868,0.38790879,2.136817e-02
0.183280,0.720000,0.719805,0.38528648,0.37576211,2.472025e-02
0.199960,0.720000,0.719805,0.37465348,0.36418784,2.793417e-02
0.216640,0.720000,0.719805,0.36445465,0.35320141,3.087693e-02
0.233320,0.720000,0.719805,0.35466670,0.34282122,3.339890e-02
0.250000,0.720000,0.719805,0.34526783,0.33306866,3.533250e-02
-0.167000,0.960000,0.959740,0.77942679,0.75577112,3.035008e-02
-0.150320,0.960000,0.959740,0.74914187,0.73076002,2.453721e-02
-0.133640,0.960000,0.959740,0.72058817,0.70664178,1.935419e-02
-0.116960,0.960000,0.959740,0.69363624,0.68337209,1.479761e-02
-0.100280,0.960000,0.959740,0.66816850,0.66090963,1.086384e-02
-0.083600,0.960000,0.959740,0.64407796,0.63921606,7.548622e-03
-0.066920,0.960000,0.959740,0.62126710,0.61825603,4.846656e-03
-0.050240,0.960000,0.959740,0.59964688,0.59799718,2.751117e-03
-0.033560,0.960000,0.959740,0.57913586,0.57841012,1.253143e-03
-0.016880,0.960000,0.959740,0.55965946,0.55946846,3.412789e-04
-0.000200,0.960000,0.959740,0.54114925,0.54114879,8.506074e-07
0.016480,0.960000,0.959740,0.52354238,0.52343070,2.133200e-04
0.033160,0.960000,0.959740,0.50678101,0.50629674,9.555758e-04
0.049840,0.960000,0.959740,0.49081187,0.48973248,2.199189e-03
0.066520,0.960000,0.959740,0.47558580,0.47372644,3.909620e-03
0.083200,0.960000,0.959740,0.46105743,0.45827016,6.045372e-03
0.099880,0.960000,0.959740,0.44718475,0.44335815,8.557106e-03
0.116560,0.960000,0.959740,0.43392892,0.42898789,1.138671e-02
0.133240,0.960000,0.959740,0.42125389,0.41515989,1.446633e-02
0.149920,0.960000,0.959740,0.40912622,0.40187760,1.771732e-02
0.166600,0.960000,0.959740,0.39751484,0.38914748,2.104918e-02
0.183280,0.960000,0.959740,0.38639087,0.37697898,2.435847e-02
0.199960,0.960000,0.959740,0.37572740,0.36538452,2.752761e-02
0.216640,0.960000,0.959740,0.36549936,0.35437953,3.042368e-02
0.233320,0.960000,0.959740,0.35568336,0.34398239,3.289716e-02
0.250000,0.960000,0.959740,0.34625757,0.33421450,3.478065e-02
-0.167000,1.200000,1.199675,0.78227867,0.75835556,3.058131e-02
-0.150320,1.200000,1.199675,0.75188311,0.73327468,2.474911e-02
-0.133640,1.200000,1.199675,0.72322509,0.70908874,1.954626e-02
-0.116960,1.200000,1.199675,0.69617467,0.68575345,1.496926e-02
-0.100280,1.200000,1.199675,0.67061386,0.66322747,1.101436e-02
-0.083600,1.200000,1.199675,0.64643526,0.64147247,7.677167e-03
-0.066920,1.200000,1.199675,0.62354102,0.62045310,4.952232e-03
-0.050240,1.200000,1.199675,0.60184175,0.60013699,2.832587e-03
-0.033560,1.200000,1.199675,0.58125574,0.58049475,1.309220e-03
-0.016880,1.200000,1.199675,0.56170813,0.56150001,3.705153e-04
-0.000200,1.200000,1.199675,0.54313023,0.54312934,1.641661e-06
0.016480,1.200000,1.199675,0.52545897,0.52536233,1.839046e-04
0.033160,1.200000,1.199675,0.50863629,0.50818155,8.940406e-04
0.049840,1.200000,1.199675,0.49260874,0.49157255,2.103475e-03
0.066520,1.200000,1.199675,0.47732698,0.47552386,3.777532e-03
0.083200,1.200000,1.199675,0.46274546,0.46002702,5.874588e-03
0.099880,1.200000,1.199675,0.44882203,0.44507652,8.345199e-03
0.116560,1.200000,1.199675,0.43551770,0.43066988,1.113117e-02
0.133240,1.200000,1.199675,0.42279629,0.41680757,1.416456e-02
0.149920,1.200000,1.199675,0.41062424,0.40349306,1.736669e-02
0.166600,1.200000,1.199675,0.39897038,0.39073281,2.064708e-02
0.183280,1.200000,1.199675,0.38780570,0.37853626,2.390228e-02
0.199960,1.200000,1.199675,0.37710321,0.36691585,2.701478e-02
0.216640,1.200000,1.199675,0.36683773,0.35588698,2.985177e-02
0.233320,1.200000,1.199675,0.35698581,0.34546806,3.226389e-02
