order,eta,Re,rho,omega,St,max_abs_lift
3,1.9007013157061875e-5,48.98435080480238,0.0,16.858046427860476,0.26830414198666636,0.0
3,1.8973349211820745e-5,48.98443158044861,0.008016032064128256,16.8580529573274,0.26830424590636,4.329516628418472e-5
3,1.8872357567421857e-5,48.98467390852662,0.01603206412825651,16.85807254571817,0.2683045576652819,8.65909834190598e-5
3,1.870403879783326e-5,48.985077792454426,0.02404809619238477,16.858105193002746,0.2683050772629538,0.00012988742444296997
3,1.8468393859650243e-5,48.98564323792888,0.03206412825651302,16.858150899131072,0.268305804698579,0.00017318446237932892
3,1.8165424092068168e-5,48.986370252925894,0.04008016032064128,16.85820966403307,0.2683067399710423,0.00021648207023416141
3,1.7795131216844412e-5,48.98725884770076,0.04809619238476954,16.85828148761863,0.2683078830789096,0.0002597802209936457
3,1.735751733824944e-5,48.9883090347886,0.056112224448897796,16.858366369777645,0.26830923402042833,0.00030307888762165643
3,1.6852584943007e-5,48.98952082900485,0.06412825651302605,16.858464310379986,0.26831079279352754,0.00034637804305730815
3,1.6280336900223532e-5,48.99089424744591,0.07214428857715431,16.858575309275505,0.2683125593958175,0.0003896776602124998
3,1.564077646130661e-5,48.99242930948977,0.08016032064128256,16.85869936629406,0.26831453382459036,0.00043297771196945976
3,1.4933907259872626e-5,48.99412603679687,0.08817635270541083,16.858836481245515,0.2683167160768199,0.0004762781711782918
3,1.4159733311643589e-5,48.99598445331099,0.09619238476953908,16.85898665391971,0.2683191061491615,0.0005195790106545222
3,1.3318259014333063e-5,48.99800458526017,0.10420841683366733,16.859149884086523,0.26832170403795247,0.0005628802031766481
3,1.2409489147521339e-5,49.00018646115784,0.11222444889779559,16.85932617149584,0.26832450973921224,0.000606181721483687
3,1.1433428872519738e-5,49.00253011180399,0.12024048096192384,16.85951551587757,0.2683275232486421,0.0006494835382727269
3,1.0390083732224093e-5,49.005035570286395,0.1282565130260521,16.859717916941648,0.26833074456162564,0.000692785626196479
3,9.279459650957476e-6,49.00770287198201,0.13627254509018036,16.85993337437806,0.2683341736732287,0.0007360879578608317
3,8.101562934302083e-6,49.010532054558404,0.14428857715430862,16.86016188785683,0.26833781057819966,0.0007793905058224045
3,6.856400268920377e-6,49.01352315797531,0.1523046092184369,16.860403457028056,0.2683416552709696,0.0008226932425861068
3,5.54397872236542e-6,49.016676224486254,0.16032064128256512,16.860658081521883,0.2683457077456521,0.0008659961406026938
