t d th
2.15 1.01155 1.075
2.16 1.01155 1.08
2.17 1.01369 1.085
2.18 1.01469 1.09
2.19 1.01615 1.095
2.2 1.02479 1.1
2.21 1.0248 1.105
2.22 1.03984 1.11
2.23 1.06696 1.115
2.24 1.09833 1.12
2.25 1.10136 1.125
2.26 1.13701 1.13
2.27 1.16528 1.135
2.28 1.16577 1.14
2.29 1.17253 1.145
2.3 1.17304 1.15
2.31 1.18067 1.155
2.32 1.1807 1.16
2.33 1.18086 1.165
2.34 1.18111 1.17
2.35 1.21024 1.175
2.36 1.21452 1.18
2.37 1.21456 1.185
2.38 1.22462 1.19
2.39 1.22463 1.195
2.4 1.22532 1.2
2.41 1.22532 1.205
2.42 1.2394 1.21
2.43 1.25919 1.215
2.44 1.25919 1.22
2.45 1.26 1.225
2.46 1.26198 1.23
2.47 1.27442 1.235
2.48 1.27549 1.24
2.49 1.2762 1.245
2.5 1.27647 1.25
2.51 1.27844 1.255
2.52 1.28371 1.26
2.53 1.28697 1.265
2.54 1.29589 1.27
2.55 1.29872 1.275
2.56 1.3159 1.28
2.57 1.32154 1.285
2.58 1.32154 1.29
2.59 1.32323 1.295
2.6 1.32659 1.3
2.61 1.36412 1.305
2.62 1.3708 1.31
2.63 1.37278 1.315
2.64 1.37536 1.32
2.65 1.38204 1.325
2.66 1.38204 1.33
2.67 1.38204 1.335
2.68 1.39189 1.34
2.69 1.39717 1.345
2.7 1.39721 1.35
2.71 1.40228 1.355
2.72 1.42543 1.36
2.73 1.42551 1.365
2.74 1.42705 1.37
2.75 1.42819 1.375
2.76 1.4322 1.38
2.77 1.4389 1.385
2.78 1.44653 1.39
2.79 1.44734 1.395
2.8 1.44737 1.4
2.81 1.44766 1.405
2.82 1.45377 1.41
2.83 1.45886 1.415
2.84 1.46077 1.42
2.85 1.46141 1.425
2.86 1.46247 1.43
2.87 1.46396 1.435
2.88 1.47019 1.44
2.89 1.495 1.445
2.9 1.49561 1.45
2.91 1.50056 1.455
2.92 1.50372 1.46
2.93 1.50549 1.465
2.94 1.50745 1.47
2.95 1.50804 1.475
2.96 1.5101 1.48
2.97 1.51474 1.485
2.98 1.51504 1.49
2.99 1.51536 1.495
3 1.51541 1.5
3.01 1.52581 1.505
3.02 1.53833 1.51
3.03 1.54088 1.515
3.04 1.55171 1.52
3.05 1.5522 1.525
3.06 1.56421 1.53
3.07 1.56588 1.535
3.08 1.56886 1.54
3.09 1.57932 1.545
3.1 1.5808 1.55
3.11 1.58087 1.555
3.12 1.5913 1.56
3.13 1.59285 1.565
3.14 1.59325 1.57
3.15 1.59327 1.575
3.16 1.62144 1.58
3.17 1.62223 1.585
3.18 1.62228 1.59
3.19 1.62312 1.595
3.2 1.62785 1.6
3.21 1.65585 1.605
3.22 1.66792 1.61
3.23 1.6737 1.615
3.24 1.67395 1.62
3.25 1.68101 1.625
3.26 1.68947 1.63
3.27 1.69502 1.635
3.28 1.69506 1.64
3.29 1.69528 1.645
3.3 1.69545 1.65
3.31 1.70618 1.655
3.32 1.70637 1.66
3.33 1.735 1.665
3.34 1.73502 1.67
3.35 1.73582 1.675
3.36 1.73582 1.68
3.37 1.73597 1.685
3.38 1.73916 1.69
3.39 1.73919 1.695
3.4 1.73924 1.7
3.41 1.74052 1.705
3.42 1.74462 1.71
3.43 1.75039 1.715
3.44 1.75532 1.72
3.45 1.76602 1.725
3.46 1.76843 1.73
3.47 1.77058 1.735
3.48 1.77126 1.74
3.49 1.77471 1.745
3.5 1.78243 1.75
3.51 1.78319 1.755
3.52 1.80179 1.76
3.53 1.80896 1.765
3.54 1.82184 1.77
3.55 1.82228 1.775
3.56 1.82576 1.78
3.57 1.828 1.785
3.58 1.82806 1.79
3.59 1.83 1.795
3.6 1.83009 1.8
3.61 1.83513 1.805
3.62 1.83591 1.81
3.63 1.83947 1.815
3.64 1.8406 1.82
3.65 1.84659 1.825
3.66 1.84666 1.83
3.67 1.85215 1.835
3.68 1.85218 1.84
3.69 1.85269 1.845
3.7 1.85443 1.85
3.71 1.85515 1.855
3.72 1.85655 1.86
3.73 1.85997 1.865
3.74 1.86408 1.87
3.75 1.86425 1.875
3.76 1.86547 1.88
3.77 1.87385 1.885
3.78 1.88486 1.89
3.79 1.88486 1.895
3.8 1.91391 1.9
3.81 1.92733 1.905
3.82 1.92858 1.91
3.83 1.9289 1.915
3.84 1.94018 1.92
3.85 1.94598 1.925
3.86 1.95207 1.93
3.87 1.9521 1.935
3.88 1.95905 1.94
3.89 1.97554 1.945
3.9 1.97972 1.95
3.91 1.98364 1.955
3.92 1.99578 1.96
3.93 1.99713 1.965
3.94 1.99861 1.97
3.95 1.99872 1.975
3.96 2.00079 1.98
3.97 2.01713 1.985
3.98 2.01843 1.99
3.99 2.04235 1.995
4 2.05322 2
