t I S
0.909 -0.457947 0.00328709
0.91 -0.457473 0.00418321
0.911 -0.461031 0.00102534
0.912 -0.462098 0.000499259
0.913 -0.462846 0.000249276
0.914 -0.46238 0.0012365
0.915 -0.463677 0.000142979
0.916 -0.461755 0.00236021
0.917 -0.461799 0.0025942
0.918 -0.463198 0.00156565
0.919 -0.463715 0.00135014
0.92 -0.465965 3.87899e-05
0.921 -0.466575 7.0408e-05
0.922 -0.467041 5.71531e-05
0.923 -0.465918 0.00164891
0.924 -0.464372 0.00363538
0.925 -0.462426 0.00599202
0.926 -0.462572 0.0066099
0.927 -0.461286 0.00866492
0.928 -0.461128 0.00934753
0.929 -0.462324 0.00865418
0.93 -0.458535 0.0129549
0.931 -0.465081 0.00681458
0.932 -0.462314 0.0101137
0.933 -0.459071 0.0137279
0.934 -0.463801 0.00927008
0.935 -0.466779 0.00650279
0.936 -0.466702 0.00695648
0.937 -0.471817 0.00236698
0.938 -0.467956 0.00674629
0.939 -0.467354 0.00783763
0.94 -0.470165 0.00523699
0.941 -0.47099 0.00493625
0.942 -0.470365 0.00590274
0.943 -0.471235 0.00555096
0.944 -0.47155 0.00558747
0.945 -0.466767 0.0109117
0.946 -0.46914 0.00871603
0.947 -0.467575 0.0106837
0.948 -0.469101 0.00988853
0.949 -0.469 0.010402
0.95 -0.471672 0.00810784
0.951 -0.476466 0.00374802
0.952 -0.475902 0.00504558
0.953 -0.479607 0.00203082
0.954 -0.479305 0.00279191
0.955 -0.479746 0.0028007
0.956 -0.480633 0.002307
0.957 -0.482574 0.000829009
0.958 -0.478073 0.00600821
0.959 -0.476593 0.00827519
0.96 -0.479057 0.00607681
0.961 -0.477611 0.00852286
0.962 -0.476064 0.0104915
0.963 -0.480403 0.00684725
0.964 -0.480878 0.00683462
0.965 -0.480457 0.00743833
0.966 -0.486185 0.00228151
0.967 -0.486102 0.0025301
0.968 -0.487203 0.00193208
0.969 -0.483964 0.00573038
0.97 -0.486404 0.00386733
0.971 -0.487358 0.00331006
0.972 -0.485367 0.00557341
0.973 -0.482624 0.00847031
0.974 -0.485899 0.00566789
0.975 -0.482885 0.00908545
0.976 -0.481844 0.0103265
0.977 -0.479178 0.0133688
0.978 -0.476362 0.0172437
0.979 -0.47337 0.0207745
0.98 -0.473756 0.0206483
0.981 -0.47668 0.0184832
0.982 -0.477767 0.0176316
0.983 -0.468194 0.0275745
0.984 -0.470107 0.0262989
0.985 -0.465979 0.0307468
0.986 -0.467914 0.0291823
0.987 -0.470695 0.0265213
0.988 -0.47435 0.0235289
0.989 -0.468025 0.0300862
0.99 -0.474236 0.0242238
0.991 -0.485171 0.0139743
0.992 -0.489827 0.00955462
0.993 -0.487553 0.0121766
0.994 -0.482012 0.0181311
0.995 -0.485419 0.015815
0.996 -0.486764 0.014715
0.997 -0.486234 0.0155369
0.998 -0.487242 0.0151653
0.999 -0.476133 0.0266349
1 -0.480608 0.0228121
1.001 -0.479044 0.0246743
1.002 -0.482355 0.0218281
1.003 -0.490468 0.0142359
1.004 -0.493033 0.0122095
1.005 -0.494051 0.0112664
1.006 -0.482902 0.0230047
1.007 -0.48662 0.0196037
1.008 -0.482954 0.0235875
1.009 -0.489862 0.0173679
1.01 -0.483251 0.0245843
1.011 -0.481755 0.0265793
1.012 -0.480762 0.0279092
1.013 -0.475399 0.0342048
1.014 -0.456258 0.0538865
1.015 -0.446453 0.0640666
1.016 -0.441123 0.0697651
1.017 -0.428607 0.0829001
1.018 -0.451378 0.0605696
1.019 -0.460518 0.0523903
1.02 -0.470305 0.0428658
1.021 -0.475138 0.0383753
1.022 -0.469073 0.0452064
1.023 -0.468846 0.0459372
1.024 -0.458938 0.0563936
1.025 -0.466817 0.0489877
1.026 -0.463383 0.0526589
1.027 -0.470823 0.0453387
1.028 -0.481917 0.0346223
1.029 -0.483521 0.0331328
1.03 -0.476407 0.0409086
1.031 -0.481905 0.0359823
1.032 -0.489713 0.0287917
1.033 -0.496075 0.0226792
1.034 -0.49594 0.0232845
1.035 -0.493596 0.026119
1.036 -0.492367 0.0280766
1.037 -0.48786 0.0330722
1.038 -0.490334 0.030749
1.039 -0.497424 0.0242944
1.04 -0.494111 0.0284227
1.041 -0.499807 0.0229592
1.042 -0.501572 0.0213893
1.043 -0.502504 0.0207316
1.044 -0.503644 0.019936
1.045 -0.500273 0.0234522
1.046 -0.508206 0.0162441
1.047 -0.504329 0.0205589
1.048 -0.506388 0.0189514
1.049 -0.506188 0.0194681
1.05 -0.498604 0.0274044
1.051 -0.502752 0.0237849
1.052 -0.502029 0.0251927
1.053 -0.496606 0.0309321
1.054 -0.493701 0.0346867
1.055 -0.488288 0.040687
1.056 -0.476347 0.0532087
1.057 -0.489279 0.0409238
1.058 -0.476111 0.0544535
1.059 -0.470452 0.0609912
1.06 -0.480514 0.0510559
1.061 -0.473121 0.0589205
1.062 -0.478949 0.0535533
1.063 -0.497504 0.0355123
1.064 -0.486981 0.0464119
1.065 -0.488571 0.0452579
1.066 -0.484814 0.0495426
1.067 -0.493608 0.0411615
1.068 -0.489518 0.0455936
1.069 -0.477919 0.0576441
1.07 -0.48813 0.0481796
1.071 -0.485801 0.0507324
1.072 -0.488732 0.048641
1.073 -0.463382 0.0746777
1.074 -0.430893 0.108172
1.075 -0.423416 0.116107
1.076 -0.407447 0.132526
1.077 -0.43996 0.101176
1.078 -0.46519 0.0766152
1.079 -0.45972 0.0827411
1.08 -0.456747 0.0860479
1.081 -0.456185 0.0867579
1.082 -0.459796 0.083342
1.083 -0.438929 0.104499
1.084 -0.438361 0.105411
1.085 -0.431386 0.112781
1.086 -0.41758 0.126876
1.087 -0.412059 0.132678
1.088 -0.421666 0.123691
1.089 -0.42404 0.121669
1.09 -0.412807 0.133104
1.091 -0.380741 0.165583
1.092 -0.361388 0.185162
1.093 -0.350276 0.196803
1.094 -0.338291 0.209461
1.095 -0.351189 0.197155
1.096 -0.346675 0.202052
1.097 -0.321905 0.227485
1.098 -0.344836 0.204905
1.099 -0.358871 0.191409
1.1 -0.362847 0.187691
1.101 -0.367108 0.183698
1.102 -0.362751 0.188337
1.103 -0.373791 0.177757
1.104 -0.356868 0.195028
1.105 -0.375204 0.177227
1.106 -0.369433 0.18342
1.107 -0.372345 0.181025
1.108 -0.341224 0.21265
1.109 -0.360305 0.194435
1.11 -0.361609 0.193292
1.111 -0.335705 0.21962
1.112 -0.352603 0.202942
1.113 -0.362801 0.193059
1.114 -0.339678 0.216612
1.115 -0.351287 0.205621
1.116 -0.337497 0.220112
1.117 -0.356029 0.202569
1.118 -0.368166 0.190643
1.119 -0.341565 0.218174
1.12 -0.338488 0.221674
1.121 -0.352131 0.208474
1.122 -0.38355 0.177309
1.123 -0.379406 0.182541
1.124 -0.372618 0.189446
1.125 -0.391528 0.170778
1.126 -0.374572 0.188341
1.127 -0.39036 0.172949
1.128 -0.415076 0.148768
1.129 -0.410433 0.15403
1.13 -0.409085 0.155976
1.131 -0.36685 0.198684
1.132 -0.341597 0.224237
1.133 -0.366254 0.199859
1.134 -0.387412 0.179548
1.135 -0.395459 0.17173
1.136 -0.421698 0.145985
1.137 -0.430849 0.137322
1.138 -0.410905 0.15773
1.139 -0.406516 0.162424
1.14 -0.375456 0.193981
1.141 -0.377853 0.19198
1.142 -0.361506 0.208638
1.143 -0.330501 0.24033
1.144 -0.305688 0.265696
1.145 -0.29192 0.279854
1.146 -0.29568 0.276935
1.147 -0.30928 0.264044
1.148 -0.306648 0.267166
1.149 -0.276909 0.297384
1.15 -0.279325 0.295215
1.151 -0.336753 0.238275
1.152 -0.347819 0.227573
1.153 -0.321601 0.254531
1.154 -0.343735 0.233004
1.155 -0.360206 0.217009
1.156 -0.372561 0.205163
1.157 -0.375127 0.202964
1.158 -0.378559 0.199741
1.159 -0.373523 0.204997
1.16 -0.399808 0.17966
1.161 -0.358497 0.221436
1.162 -0.385886 0.194557
1.163 -0.406258 0.175255
1.164 -0.43625 0.145754
1.165 -0.449544 0.133177
1.166 -0.465055 0.118366
1.167 -0.45206 0.131778
1.168 -0.419693 0.164943
1.169 -0.430511 0.154995
1.17 -0.418584 0.16749
1.171 -0.437454 0.14907
1.172 -0.45366 0.133513
1.173 -0.452918 0.134658
1.174 -0.462772 0.125505
1.175 -0.44876 0.140186
1.176 -0.469808 0.119569
1.177 -0.458045 0.131658
1.178 -0.446977 0.143217
1.179 -0.441341 0.149353
1.18 -0.441891 0.149727
1.181 -0.438402 0.153453
1.182 -0.453169 0.139041
1.183 -0.45726 0.13544
1.184 -0.450005 0.143153
1.185 -0.434315 0.159355
1.186 -0.43379 0.160328
1.187 -0.427828 0.166832
1.188 -0.418339 0.176661
1.189 -0.412024 0.183052
1.19 -0.407141 0.188413
1.191 -0.385814 0.21068
1.192 -0.379113 0.217656
1.193 -0.388802 0.208385
1.194 -0.410174 0.187527
1.195 -0.423866 0.174389
1.196 -0.400659 0.198701
1.197 -0.377856 0.222153
1.198 -0.35375 0.246921
1.199 -0.369601 0.232043
1.2 -0.339438 0.262539
1.201 -0.331856 0.270407
1.202 -0.336554 0.265897
1.203 -0.365331 0.2378
1.204 -0.349969 0.253836
1.205 -0.380614 0.223462
1.206 -0.401766 0.20274
1.207 -0.405443 0.199345
1.208 -0.421616 0.183589
1.209 -0.432769 0.173027
1.21 -0.441536 0.164528
1.211 -0.438408 0.168184
1.212 -0.442976 0.163787
1.213 -0.456845 0.150145
1.214 -0.4667 0.140656
1.215 -0.469997 0.137809
1.216 -0.457928 0.150376
1.217 -0.469063 0.139446
1.218 -0.437022 0.172585
1.219 -0.430885 0.179182
1.22 -0.445656 0.164611
1.221 -0.47395 0.136895
1.222 -0.464871 0.146472
1.223 -0.472147 0.13954
1.224 -0.479677 0.132435
1.225 -0.50426 0.10857
1.226 -0.513724 0.0999263
1.227 -0.493231 0.120908
1.228 -0.479183 0.13537
1.229 -0.486596 0.128378
1.23 -0.497489 0.117978
1.231 -0.518773 0.09712
1.232 -0.533974 0.0824661
1.233 -0.518559 0.0985618
1.234 -0.509938 0.107666
1.235 -0.497842 0.120025
1.236 -0.483562 0.134702
1.237 -0.500778 0.117918
1.238 -0.493575 0.125431
1.239 -0.485884 0.133562
1.24 -0.501304 0.118866
1.241 -0.487288 0.133499
1.242 -0.506688 0.114488
1.243 -0.482245 0.139263
1.244 -0.490868 0.131051
1.245 -0.475063 0.147341
1.246 -0.47011 0.15265
1.247 -0.481078 0.142254
1.248 -0.485564 0.138222
1.249 -0.49179 0.132295
1.25 -0.482639 0.141787
1.251 -0.468612 0.156167
1.252 -0.485262 0.139864
1.253 -0.479637 0.145789
1.254 -0.467511 0.158256
1.255 -0.451555 0.174409
1.256 -0.424706 0.201719
1.257 -0.396586 0.230093
1.258 -0.373687 0.253551
1.259 -0.384132 0.243521
1.26 -0.41902 0.209482
1.261 -0.425732 0.203157
1.262 -0.459019 0.170429
1.263 -0.429954 0.199925
1.264 -0.456098 0.174223
1.265 -0.464988 0.165972
1.266 -0.502158 0.129382
1.267 -0.481244 0.150529
1.268 -0.485223 0.146778
1.269 -0.479995 0.152706
1.27 -0.475893 0.15712
1.271 -0.48831 0.145533
1.272 -0.494238 0.140024
1.273 -0.494835 0.139688
1.274 -0.498946 0.136423
1.275 -0.510009 0.12591
1.276 -0.49817 0.138387
1.277 -0.513166 0.123596
1.278 -0.518029 0.119421
1.279 -0.509797 0.128198
1.28 -0.52948 0.109589
1.281 -0.515556 0.123913
1.282 -0.52916 0.110636
1.283 -0.52732 0.112833
1.284 -0.527801 0.112669
1.285 -0.520023 0.121209
1.286 -0.511999 0.129857
1.287 -0.51318 0.129032
1.288 -0.504914 0.13782
1.289 -0.489544 0.153508
1.29 -0.480913 0.162481
1.291 -0.465404 0.178518
1.292 -0.478062 0.166549
1.293 -0.446257 0.199238
1.294 -0.449312 0.196789
1.295 -0.465818 0.180795
1.296 -0.466398 0.180939
1.297 -0.47191 0.175892
1.298 -0.483107 0.164983
1.299 -0.4546 0.194021
1.3 -0.446211 0.20308
1.301 -0.420989 0.228596
1.302 -0.40464 0.245642
1.303 -0.437101 0.213623
1.304 -0.484197 0.167192
1.305 -0.488839 0.163098
1.306 -0.501401 0.151018
1.307 -0.540363 0.11289
1.308 -0.563521 0.0900479
1.309 -0.566999 0.0869851
1.31 -0.575099 0.0792128
1.311 -0.546228 0.108798
1.312 -0.56865 0.0871791
1.313 -0.553419 0.103025
1.314 -0.558771 0.097834
1.315 -0.563603 0.0931631
1.316 -0.567629 0.0899167
1.317 -0.56858 0.089715
1.318 -0.582538 0.076204
1.319 -0.591373 0.0678899
1.32 -0.580091 0.0797294
1.321 -0.599865 0.060757
1.322 -0.599171 0.0618177
1.323 -0.621004 0.0409509
1.324 -0.628201 0.0344369
1.325 -0.617002 0.0466719
1.326 -0.620391 0.0435571
1.327 -0.629054 0.0350847
1.328 -0.624116 0.0402738
1.329 -0.623351 0.0412063
1.33 -0.63818 0.0270122
1.331 -0.629009 0.0367714
1.332 -0.636132 0.0301346
1.333 -0.639917 0.0270057
1.334 -0.643837 0.0236377
1.335 -0.62905 0.0389125
1.336 -0.629928 0.0384115
1.337 -0.615454 0.0533562
1.338 -0.618335 0.0506409
1.339 -0.630552 0.0389217
1.34 -0.631455 0.0382144
1.341 -0.621313 0.0489155
1.342 -0.620098 0.0505508
1.343 -0.613437 0.0574881
1.344 -0.612635 0.0590146
1.345 -0.630112 0.0423225
1.346 -0.627615 0.045021
1.347 -0.635596 0.0372721
1.348 -0.625337 0.0481214
1.349 -0.636539 0.0373624
1.35 -0.636663 0.0374987
1.351 -0.650209 0.0243682
1.352 -0.64771 0.0275552
1.353 -0.650865 0.0248772
1.354 -0.659966 0.0162302
1.355 -0.66457 0.012627
1.356 -0.661506 0.0161033
1.357 -0.648664 0.0294671
1.358 -0.640815 0.0378281
1.359 -0.635985 0.0433271
1.36 -0.643224 0.0365841
1.361 -0.653991 0.0263794
1.362 -0.646245 0.0348348
1.363 -0.655044 0.0265929
1.364 -0.647182 0.0352312
1.365 -0.631913 0.0511199
1.366 -0.65233 0.0312534
1.367 -0.66682 0.0176625
1.368 -0.677047 0.00804579
1.369 -0.681039 0.00455413
1.37 -0.684059 0.00209231
1.371 -0.681317 0.00532309
1.372 -0.677312 0.0098982
1.373 -0.682651 0.00501896
1.374 -0.6851 0.00312263
1.375 -0.683074 0.00590264
1.376 -0.682668 0.00663439
1.377 -0.679472 0.010323
1.378 -0.674176 0.0159029
1.379 -0.673484 0.0173108
1.38 -0.67337 0.018039
1.381 -0.677493 0.0146507
1.382 -0.678796 0.0136458
1.383 -0.687323 0.00574847
1.384 -0.69073 0.00267058
1.385 -0.693759 9.69635e-05
1.386 -0.693692 0.000403085
1.387 -0.693833 0.00071366
1.388 -0.694848 0.000140757
1.389 -0.695468 0.000122401
1.39 -0.695469 0.000428352
1.391 -0.696239 0.000143475
1.392 -0.697057 0.000555526
1.393 -0.69841 0.000145788
1.394 -0.697709 0.00121188
1.395 -0.700244 0.000184082
1.396 -0.700841 0.000215463
1.397 -0.701072 0.000202128
1.398 -0.700919 0.000467714
1.399 -0.701313 0.000409053
1.4 -0.70203 2.81235e-06
1.401 -0.701928 0.0010151
1.402 -0.702532 0.000810204
1.403 -0.703219 0.00073356
1.404 -0.702848 0.00157337
1.405 -0.704519 0.000183849
1.406 -0.704998 0.000288331
1.407 -0.705599 1.27684e-05
1.408 -0.705983 1.18453e-05
1.409 -0.706416 4.07736e-05
1.41 -0.706458 0.000210165
1.411 -0.70766 8.59245e-05
1.412 -0.707112 0.00123567
1.413 -0.705533 0.00376437
1.414 -0.706096 0.00375242
1.415 -0.705805 0.00474182
1.416 -0.709213 0.00175159
1.417 -0.711327 0.000140142
1.418 -0.711949 0.000554838
1.419 -0.712044 0.000868998
1.42 -0.712546 0.000616692
1.421 -0.711565 0.00200685
1.422 -0.713837 0.000123144
1.423 -0.713693 0.00079978
1.424 -0.713001 0.0016932
1.425 -0.712732 0.00231979
1.426 -0.706158 0.0096028
1.427 -0.704151 0.0117941
1.428 -0.704972 0.0115685
1.429 -0.706781 0.0103102
1.43 -0.707043 0.0106889
1.431 -0.712373 0.00573989
1.432 -0.709159 0.00918035
1.433 -0.715744 0.00368385
1.434 -0.717967 0.00184223
1.435 -0.718614 0.00173536
1.436 -0.716573 0.00418239
1.437 -0.718857 0.00239099
1.438 -0.713419 0.00851983
1.439 -0.71157 0.0107081
1.44 -0.711566 0.0110572
1.441 -0.712434 0.0105774
1.442 -0.717725 0.00574709
1.443 -0.718902 0.00495664
1.444 -0.719775 0.00468256
1.445 -0.716579 0.00826752
1.446 -0.718095 0.00714039
1.447 -0.718661 0.00719173
1.448 -0.720847 0.00535702
1.449 -0.725067 0.00169056
1.45 -0.724492 0.00293136
1.451 -0.723601 0.00405594
1.452 -0.723452 0.00449585
1.453 -0.716281 0.0120451
1.454 -0.721724 0.00704248
1.455 -0.719247 0.00984948
1.456 -0.722032 0.00765424
1.457 -0.726203 0.0041234
1.458 -0.728935 0.00166821
1.459 -0.73122 0.000124497
1.46 -0.731612 0.000436113
1.461 -0.732925 3.33708e-05
1.462 -0.730876 0.00278006
1.463 -0.727056 0.0076963
1.464 -0.73052 0.00442504
1.465 -0.726664 0.0092617
1.466 -0.733491 0.00377441
1.467 -0.730651 0.00710411
1.468 -0.731303 0.00688114
1.469 -0.729788 0.00871789
1.47 -0.732682 0.00634355
1.471 -0.728263 0.0112014
1.472 -0.732493 0.00773177
1.473 -0.727293 0.0134915
1.474 -0.735363 0.00607636
1.475 -0.734917 0.00703162
1.476 -0.734794 0.00748907
1.477 -0.737654 0.00558355
1.478 -0.73729 0.00626577
1.479 -0.735138 0.00857147
1.48 -0.737504 0.00655642
1.481 -0.741092 0.00330224
1.482 -0.742382 0.00254218
1.483 -0.738059 0.00741842
1.484 -0.737784 0.00790605
1.485 -0.732837 0.0131216
1.486 -0.738851 0.00750988
1.487 -0.734657 0.0119998
1.488 -0.729867 0.0169596
1.489 -0.722544 0.0246404
1.49 -0.732224 0.0154247
1.491 -0.731866 0.0161504
1.492 -0.728509 0.0205911
1.493 -0.733445 0.0161129
1.494 -0.728435 0.0218015
1.495 -0.72909 0.0214438
1.496 -0.725763 0.0250512
1.497 -0.715572 0.0356598
1.498 -0.713871 0.0376504
1.499 -0.712097 0.0402994
1.5 -0.703469 0.0493142
1.501 -0.709049 0.0440229
1.502 -0.700165 0.0532975
1.503 -0.695767 0.0580066
1.504 -0.704613 0.0497906
1.505 -0.713798 0.0409568
1.506 -0.723412 0.0319652
1.507 -0.715201 0.0404239
1.508 -0.720422 0.0359322
1.509 -0.737017 0.0201553
1.51 -0.734044 0.0234614
1.511 -0.73074 0.0273534
1.512 -0.7308 0.0278036
1.513 -0.733483 0.0253536
1.514 -0.729835 0.0293988
1.515 -0.737905 0.0218151
1.516 -0.740746 0.0192717
1.517 -0.75185 0.00942041
1.518 -0.744436 0.0174256
1.519 -0.748503 0.0137194
1.52 -0.748531 0.0142617
1.521 -0.738002 0.025384
1.522 -0.728688 0.035066
1.523 -0.7289 0.0350511
1.524 -0.716017 0.0486156
1.525 -0.715698 0.0492259
1.526 -0.716335 0.0489213
1.527 -0.701188 0.0646394
1.528 -0.717942 0.0486992
1.529 -0.711945 0.0553015
1.53 -0.730085 0.0377833
1.531 -0.741681 0.0271438
1.532 -0.74589 0.0234363
1.533 -0.741954 0.0279368
1.534 -0.755521 0.0150529
1.535 -0.755228 0.0159234
1.536 -0.762566 0.00879544
1.537 -0.7674 0.00455873
1.538 -0.766966 0.00557601
1.539 -0.767528 0.00552537
1.54 -0.76808 0.00528202
1.541 -0.764959 0.00876065
1.542 -0.766301 0.0076171
1.543 -0.764173 0.0100196
1.544 -0.763314 0.0113429
1.545 -0.761605 0.0135277
1.546 -0.752673 0.0228866
1.547 -0.751194 0.0247814
1.548 -0.747786 0.0287522
1.549 -0.749906 0.0272997
1.55 -0.750278 0.027518
1.551 -0.740314 0.0378703
1.552 -0.727982 0.0507381
1.553 -0.7417 0.0375273
1.554 -0.73357 0.0463176
1.555 -0.750793 0.0295008
1.556 -0.765457 0.0161476
1.557 -0.775344 0.00755167
1.558 -0.774274 0.00912018
1.559 -0.779029 0.00481745
1.56 -0.780631 0.00400082
1.561 -0.778817 0.00630165
1.562 -0.77483 0.010824
1.563 -0.773853 0.0123847
1.564 -0.776957 0.010015
1.565 -0.780199 0.0071923
1.566 -0.782187 0.00537001
1.567 -0.778524 0.00959715
1.568 -0.785724 0.00276219
1.569 -0.782759 0.00618662
1.57 -0.784734 0.0045208
1.571 -0.788208 0.00149705
1.572 -0.787466 0.00259764
1.573 -0.789781 0.00086572
1.574 -0.791607 0.000171487
1.575 -0.791251 0.000950269
1.576 -0.790082 0.00233463
1.577 -0.788619 0.00409746
1.578 -0.789355 0.00387614
1.579 -0.792669 0.000902599
1.58 -0.793797 0.000356576
1.581 -0.794498 3.52439e-05
1.582 -0.794944 0.000339973
1.583 -0.795469 0.000518607
1.584 -0.794585 0.00191591
1.585 -0.786773 0.0112588
1.586 -0.786036 0.0128477
1.587 -0.784931 0.0145064
1.588 -0.787368 0.0123419
1.589 -0.781303 0.0189528
1.59 -0.784622 0.0162115
1.591 -0.780257 0.0209697
1.592 -0.789439 0.0120816
1.593 -0.787833 0.0140185
1.594 -0.791314 0.0109092
1.595 -0.784128 0.0186067
1.596 -0.779642 0.0233478
1.597 -0.780713 0.0227353
1.598 -0.771214 0.0331273
1.599 -0.779777 0.0250319
1.6 -0.775819 0.0292323
1.601 -0.771595 0.0337682
1.602 -0.767816 0.038038
1.603 -0.755817 0.050727
1.604 -0.75508 0.0517702
1.605 -0.762566 0.04467
1.606 -0.767052 0.0404934
1.607 -0.763977 0.0443129
1.608 -0.771316 0.0372958
1.609 -0.778122 0.0310305
1.61 -0.769301 0.040512
1.611 -0.754678 0.0556111
1.612 -0.742149 0.0685816
1.613 -0.720674 0.0906546
1.614 -0.74383 0.0679326
1.615 -0.743481 0.0688205
1.616 -0.738271 0.0743263
1.617 -0.754142 0.0591993
1.618 -0.761216 0.0525935
1.619 -0.757122 0.0568261
1.62 -0.766915 0.0474948
1.621 -0.750924 0.0643094
1.622 -0.743462 0.072484
1.623 -0.726648 0.0895982
1.624 -0.732173 0.084526
1.625 -0.725216 0.0922847
1.626 -0.746871 0.0714201
1.627 -0.732618 0.0860268
1.628 -0.733418 0.0856124
1.629 -0.73675 0.0826759
1.63 -0.747442 0.072506
1.631 -0.757835 0.0627793
1.632 -0.762808 0.0584118
1.633 -0.755539 0.0659918
1.634 -0.768707 0.0534646
1.635 -0.759693 0.0627214
1.636 -0.781197 0.0419928
1.637 -0.794293 0.0294913
1.638 -0.792296 0.031862
1.639 -0.801481 0.0230654
1.64 -0.796681 0.0282653
1.641 -0.787295 0.0380068
1.642 -0.79469 0.0314108
1.643 -0.801378 0.0252496
1.644 -0.800881 0.0261754
1.645 -0.804102 0.0237362
1.646 -0.7963 0.032076
1.647 -0.799087 0.029583
1.648 -0.779455 0.0499211
1.649 -0.780334 0.0495003
1.65 -0.7698 0.060359
1.651 -0.766194 0.0642236
1.652 -0.765297 0.0654703
1.653 -0.772134 0.0591706
1.654 -0.776814 0.0552745
1.655 -0.771603 0.061136
1.656 -0.775188 0.0581634
1.657 -0.775978 0.0578009
1.658 -0.758635 0.0761371
1.659 -0.765903 0.0697421
1.66 -0.777042 0.0591059
1.661 -0.780478 0.0560883
1.662 -0.77095 0.0664694
1.663 -0.773047 0.0648447
1.664 -0.766928 0.0713923
1.665 -0.753466 0.0852094
1.666 -0.742832 0.0964623
1.667 -0.742279 0.0972053
1.668 -0.761729 0.0779936
1.669 -0.761812 0.0785191
1.67 -0.750344 0.0901665
1.671 -0.741116 0.0999128
1.672 -0.747896 0.0933782
1.673 -0.759943 0.0816618
1.674 -0.77127 0.0706835
1.675 -0.764904 0.0773953
1.676 -0.750022 0.0928027
1.677 -0.754886 0.0882037
1.678 -0.770289 0.0734156
1.679 -0.765242 0.0788071
1.68 -0.761745 0.0827404
1.681 -0.745683 0.0995998
1.682 -0.748136 0.0976621
1.683 -0.756943 0.0895188
1.684 -0.745425 0.101426
1.685 -0.748962 0.0983404
1.686 -0.73567 0.111901
1.687 -0.722134 0.125942
1.688 -0.748427 0.100486
1.689 -0.756047 0.0933733
1.69 -0.726531 0.123308
1.691 -0.701064 0.149387
1.692 -0.724386 0.12631
1.693 -0.709513 0.141449
1.694 -0.704095 0.147468
1.695 -0.712537 0.139206
1.696 -0.682069 0.170412
1.697 -0.704723 0.148189
1.698 -0.715191 0.137998
1.699 -0.73697 0.116745
1.7 -0.709127 0.145192
1.701 -0.710606 0.144073
1.702 -0.710043 0.144801
1.703 -0.700987 0.153969
1.704 -0.711988 0.143218
1.705 -0.719291 0.13602
1.706 -0.707922 0.148064
1.707 -0.721068 0.135321
1.708 -0.700494 0.1561
1.709 -0.71078 0.146634
1.71 -0.727268 0.130741
1.711 -0.73301 0.125883
1.712 -0.746314 0.112853
1.713 -0.767262 0.092516
1.714 -0.749807 0.110327
1.715 -0.7249 0.135839
1.716 -0.718391 0.142869
1.717 -0.707954 0.153979
1.718 -0.726105 0.136575
1.719 -0.734943 0.128316
1.72 -0.719008 0.144576
1.721 -0.723186 0.140755
1.722 -0.701601 0.162921
1.723 -0.677414 0.187538
1.724 -0.670461 0.195108
1.725 -0.665644 0.200211
1.726 -0.671271 0.194892
1.727 -0.630223 0.23634
1.728 -0.633209 0.233699
1.729 -0.646362 0.220858
1.73 -0.608121 0.259754
1.731 -0.613015 0.255498
1.732 -0.591234 0.277936
1.733 -0.536159 0.333896
1.734 -0.533038 0.337495
1.735 -0.523921 0.346894
1.736 -0.555149 0.316428
1.737 -0.570524 0.301564
1.738 -0.57126 0.301279
1.739 -0.539171 0.33463
1.74 -0.557676 0.316383
1.741 -0.563252 0.311271
1.742 -0.619465 0.255675
1.743 -0.599168 0.27639
1.744 -0.582255 0.294404
1.745 -0.596262 0.280766
1.746 -0.603671 0.273851
1.747 -0.640994 0.236919
1.748 -0.652754 0.225904
1.749 -0.654438 0.22451
1.75 -0.67238 0.206939
1.751 -0.632111 0.247624
1.752 -0.6016 0.278484
1.753 -0.581259 0.299411
1.754 -0.558844 0.322095
1.755 -0.557293 0.324301
1.756 -0.562886 0.319089
1.757 -0.53083 0.352116
1.758 -0.539896 0.343489
1.759 -0.503688 0.380102
1.76 -0.53658 0.347799
1.761 -0.580224 0.30471
1.762 -0.544012 0.341713
1.763 -0.49954 0.387193
1.764 -0.512562 0.374749
1.765 -0.47278 0.41479
1.766 -0.436307 0.451739
1.767 -0.424506 0.46406
1.768 -0.416063 0.472859
1.769 -0.4418 0.447731
1.77 -0.45865 0.431262
1.771 -0.421803 0.468436
1.772 -0.381892 0.508714
1.773 -0.376237 0.514975
1.774 -0.380501 0.511364
1.775 -0.36474 0.528253
1.776 -0.380357 0.513148
1.777 -0.367023 0.526808
1.778 -0.369655 0.524609
1.779 -0.405051 0.489631
1.78 -0.411688 0.483682
1.781 -0.425248 0.47033
1.782 -0.423836 0.472103
1.783 -0.446998 0.449565
1.784 -0.456669 0.440121
1.785 -0.486777 0.410539
1.786 -0.4817 0.41628
1.787 -0.536171 0.362139
1.788 -0.566562 0.332515
1.789 -0.553851 0.345643
1.79 -0.595624 0.304756
1.791 -0.596422 0.304165
1.792 -0.593064 0.308012
1.793 -0.611182 0.290486
1.794 -0.590155 0.311859
1.795 -0.585593 0.316824
1.796 -0.582832 0.320157
1.797 -0.616565 0.286884
1.798 -0.584915 0.319105
1.799 -0.54665 0.357724
1.8 -0.535029 0.369772
1.801 -0.54948 0.355729
1.802 -0.556547 0.34927
1.803 -0.542604 0.363556
1.804 -0.55061 0.356081
1.805 -0.598878 0.308523
