eta,Re,rho,omega,T
1.900644238775e-05,48.98435217,1.000000000000e-04,16.8580456294,0.3727113715
1.900642664342e-05,48.98435221,2.000000000000e-04,16.8580456324,0.3727113714
1.900639124030e-05,48.98435230,3.500000000000e-04,16.8580456403,0.3727113712
1.900630021632e-05,48.98435252,5.750000000000e-04,16.8580456605,0.3727113708
1.900607836200e-05,48.98435305,9.124999999999e-04,16.8580457091,0.3727113697
1.900555361419e-05,48.98435431,1.418750000000e-03,16.8580458237,0.3727113672
1.900395491473e-05,48.98435814,2.178124999998e-03,16.8580461116,0.3727113608
1.900067296076e-05,48.98436602,3.317187499994e-03,16.8580467489,0.3727113467
1.899319899281e-05,48.98438395,5.025781249978e-03,16.8580482001,0.3727113147
1.897624825416e-05,48.98442462,7.588671874924e-03,16.8580514915,0.3727112419
1.893790786321e-05,48.98451662,1.143300781224e-02,16.8580589360,0.3727110773
1.885134134663e-05,48.98472434,1.719951171787e-02,16.8580757447,0.3727107057
1.865612185626e-05,48.98519277,2.584926757513e-02,16.8581136505,0.3727098676
1.833267885876e-05,48.98596890,3.584926757003e-02,16.8581764535,0.3727084791
1.790444047266e-05,48.98699653,4.584926756100e-02,16.8582596045,0.3727066408
1.737144921204e-05,48.98827560,5.584926754694e-02,16.8583630951,0.3727043528
1.673375800524e-05,48.98980601,6.584926752674e-02,16.8584869149,0.3727016154
1.599143017002e-05,48.99158766,7.584926749932e-02,16.8586310515,0.3726984290
1.514453940085e-05,48.99362044,8.584926746360e-02,16.8587954903,0.3726947937
1.419316975733e-05,48.99590419,9.584926741848e-02,16.8589802149,0.3726907101
1.313741564932e-05,48.99843876,1.058492673629e-01,16.8591852067,0.3726861785
1.197738182076e-05,49.00122398,1.158492672957e-01,16.8594104451,0.3726811995
1.071318333141e-05,49.00425966,1.258492672160e-01,16.8596559075,0.3726757736
9.344945536950e-06,49.00754559,1.358492671225e-01,16.8599215693,0.3726699013
7.872804067967e-06,49.01108155,1.458492670143e-01,16.8602074039,0.3726635834
6.296904806473e-06,49.01486729,1.558492668902e-01,16.8605133825,0.3726568204
4.617403860481e-06,49.01890255,1.658492667493e-01,16.8608394747,0.3726496131
2.834467537612e-06,49.02318705,1.758492665905e-01,16.8611856478,0.3726419623
9.482723168570e-07,49.02772052,1.858492664128e-01,16.8615518672,0.3726338689
-1.040995178545e-06,49.03250262,1.958492662150e-01,16.8619380963,0.3726253335
-3.133138221576e-06,49.03753304,2.058492659963e-01,16.8623442967,0.3726163573
-5.327950003854e-06,49.04281142,2.158492657556e-01,16.8627704279,0.3726069411
-7.625213677325e-06,49.04833742,2.258492654919e-01,16.8632164475,0.3725970859
-1.002470238927e-05,49.05411064,2.358492652041e-01,16.8636823112,0.3725867928
-1.252617931830e-05,49.06013070,2.458492648914e-01,16.8641679726,0.3725760629
-1.512939771727e-05,49.06639718,2.558492645527e-01,16.8646733838,0.3725648973
-1.783410095159e-05,49.07290965,2.658492641870e-01,16.8651984946,0.3725532972
-2.064002254319e-05,49.07966766,2.758492637935e-01,16.8657432531,0.3725412638
-2.354688621502e-05,49.08667075,2.858492633711e-01,16.8663076056,0.3725287985
-2.655440593507e-05,49.09391844,2.958492629190e-01,16.8668914963,0.3725159024
-2.966228596387e-05,49.10141024,3.058492624362e-01,16.8674948679,0.3725025771
-3.287022090443e-05,49.10914562,3.158492619217e-01,16.8681176609,0.3724888238
-3.617789574907e-05,49.11712406,3.258492613748e-01,16.8687598144,0.3724746440
-3.958498593297e-05,49.12534502,3.358492607945e-01,16.8694212654,0.3724600393
-4.309115738506e-05,49.13380792,3.458492601800e-01,16.8701019491,0.3724450111
-4.669606658222e-05,49.14251218,3.558492595304e-01,16.8708017993,0.3724295610
-5.039936060418e-05,49.15145721,3.658492588448e-01,16.8715207476,0.3724136906
-5.420067718911e-05,49.16064240,3.758492581224e-01,16.8722587241,0.3723974016
-5.809964479173e-05,49.17006711,3.858492573624e-01,16.8730156573,0.3723806956
-6.209588264140e-05,49.17973070,3.958492565640e-01,16.8737914737,0.3723635744
-6.618900080101e-05,49.18963249,4.058492557265e-01,16.8745860984,0.3723460398
-7.037860022865e-05,49.19977182,4.158492548489e-01,16.8753994547,0.3723280936
-7.466427283890e-05,49.21014798,4.258492539307e-01,16.8762314643,0.3723097375
-7.904560156565e-05,49.22076027,4.358492529710e-01,16.8770820473,0.3722909736
-8.352216042539e-05,49.23160794,4.458492519691e-01,16.8779511221,0.3722718037
-8.809351458271e-05,49.24269026,4.558492509244e-01,16.8788386057,0.3722522298
-9.275922041535e-05,49.25400646,4.658492498361e-01,16.8797444133,0.3722322538
-9.751882558074e-05,49.26555577,4.758492487035e-01,16.8806684587,0.3722118779
-1.023718690832e-04,49.27733738,4.858492475260e-01,16.8816106542,0.3721911040
-1.073178813428e-04,49.28935049,4.958492463029e-01,16.8825709106,0.3721699343
-1.123563842634e-04,49.30159428,5.058492450337e-01,16.8835491372,0.3721483709
-1.174868913030e-04,49.31406788,5.158492437177e-01,16.8845452417,0.3721264160
-1.227089075439e-04,49.32677046,5.258492423544e-01,16.8855591305,0.3721040718
-1.280219297634e-04,49.33970112,5.358492409431e-01,16.8865907086,0.3720813405
-1.334254465060e-04,49.35285898,5.458492394833e-01,16.8876398796,0.3720582244
-1.389189381556e-04,49.36624313,5.558492379744e-01,16.8887065456,0.3720347257
-1.445018770082e-04,49.37985265,5.658492364161e-01,16.8897906076,0.3720108469
-1.501737273452e-04,49.39368660,5.758492348077e-01,16.8908919649,0.3719865902
-1.559339455070e-04,49.40774401,5.858492331488e-01,16.8920105159,0.3719619581
-1.617819799685e-04,49.42202392,5.958492314389e-01,16.8931461574,0.3719369529
-1.677172714120e-04,49.43652534,6.058492296776e-01,16.8942987852,0.3719115772
-1.737392528039e-04,49.45124726,6.158492278645e-01,16.8954682936,0.3718858334
-1.798473494692e-04,49.46618867,6.258492259991e-01,16.8966545758,0.3718597240
-1.860409791674e-04,49.48134853,6.358492240812e-01,16.8978575239,0.3718332515
-1.923195521685e-04,49.49672579,6.458492221102e-01,16.8990770288,0.3718064186
-1.986824713294e-04,49.51231939,6.558492200860e-01,16.9003129800,0.3717792277
-2.051291321700e-04,49.52812823,6.658492180081e-01,16.9015652663,0.3717516815
-2.116589229501e-04,49.54415122,6.758492158763e-01,16.9028337751,0.3717237826
-2.182712247454e-04,49.56038724,6.858492136902e-01,16.9041183929,0.3716955337
-2.249654115254e-04,49.57683518,6.958492114497e-01,16.9054190049,0.3716669374
-2.317408502289e-04,49.59349387,7.058492091545e-01,16.9067354956,0.3716379965
-2.385969008415e-04,49.61036216,7.158492068043e-01,16.9080677482,0.3716087137
-2.455329164727e-04,49.62743888,7.258492043989e-01,16.9094156452,0.3715790917
-2.525482434318e-04,49.64472282,7.358492019383e-01,16.9107790679,0.3715491334
-2.596422213051e-04,49.66221279,7.458491994221e-01,16.9121578968,0.3715188414
-2.668141830325e-04,49.67990755,7.558491968503e-01,16.9135520114,0.3714882186
-2.740634549832e-04,49.69780588,7.658491942228e-01,16.9149612906,0.3714572679
-2.813893570326e-04,49.71590651,7.758491915395e-01,16.9163856120,0.3714259920
-2.887912026377e-04,49.73420817,7.858491888002e-01,16.9178248527,0.3713943939
-2.962682989131e-04,49.75270959,7.958491860049e-01,16.9192788889,0.3713624764
-3.038199467061e-04,49.77140945,8.058491831536e-01,16.9207475959,0.3713302424
-3.114454406718e-04,49.79030644,8.158491802462e-01,16.9222308485,0.3712976949
-3.191440693482e-04,49.80939924,8.258491772829e-01,16.9237285203,0.3712648368
